major_cell_type	subtype	cell_count	major_cell_type_total	percent_within_major
B & Plasma cells	B_CD83	7994	103212	7.7452234
B & Plasma cells	B_DUSP4	2977	103212	2.8843545
B & Plasma cells	B_HLA-DRA	28241	103212	27.362128
B & Plasma cells	B_Mito	2371	103212	2.2972135
B & Plasma cells	B_RGS13	1109	103212	1.0744875
B & Plasma cells	B_T_Mix	9815	103212	9.5095532
B & Plasma cells	Plasma_CPA3	1017	103212	0.98535054
B & Plasma cells	Plasma_CXCL8	3425	103212	3.3184126
B & Plasma cells	Plasma_DCN	2220	103212	2.1509127
B & Plasma cells	Plasma_IGHG1	6033	103212	5.8452506
B & Plasma cells	Plasma_IGKC	13053	103212	12.646785
B & Plasma cells	Plasma_RRM2	2860	103212	2.7709956
B & Plasma cells	Plasma_S100A6	2434	103212	2.3582529
B & Plasma cells	Plasma_SSR4	19663	103212	19.051079
Endothelial	Endo_ACKR1	12754	44055	28.950176
Endothelial	Endo_CCL21	2507	44055	5.690614
Endothelial	Endo_CDH19	1734	44055	3.9359891
Endothelial	Endo_DCN	1190	44055	2.701169
Endothelial	Endo_IL1B	1290	44055	2.928158
Endothelial	Endo_KRT15	762	44055	1.7296561
Endothelial	Endo_MKI67	593	44055	1.3460447
Endothelial	Endo_Mito	8827	44055	20.036318
Endothelial	Endo_RGS5	1407	44055	3.1937351
Endothelial	Endo_SLC9A3R2	9433	44055	21.411872
Endothelial	Endo_TPSAB1	576	44055	1.3074566
Endothelial	Endo_T_Mix	2982	44055	6.7688117
Epithelial	Epi_A_IL1R2	5726	75040	7.630597
Epithelial	Epi_A_MGP	2452	75040	3.2675906
Epithelial	Epi_B_Mix	775	75040	1.0327825
Epithelial	Epi_M_ACTL8	942	75040	1.2553305
Epithelial	Epi_M_CALML3	35838	75040	47.758529
Epithelial	Epi_M_CPS1	7715	75040	10.281183
Epithelial	Epi_M_MYBPC1	4075	75040	5.4304371
Epithelial	Epi_M_PKP2	1411	75040	1.8803305
Epithelial	Epi_M_RNASE1	1719	75040	2.2907783
Epithelial	Epi_M_SPRR3	2545	75040	3.3915245
Epithelial	Epi_N_LTF	38	75040	0.050639659
Epithelial	Epi_N_PIGR	4736	75040	6.3113006
Epithelial	Epi_T_Mix	7068	75040	9.4189765
Fibroblast	Fibro_ACKR1	1026	111164	0.92296067
Fibroblast	Fibro_B_Mix	756	111164	0.68007628
Fibroblast	Fibro_C7	13478	111164	12.124429
Fibroblast	Fibro_CFD	16967	111164	15.263035
Fibroblast	Fibro_CLDN1	615	111164	0.55323666
Fibroblast	Fibro_CXCL2	9862	111164	8.8715771
Fibroblast	Fibro_DES	1677	111164	1.5085819
Fibroblast	Fibro_KRT17	1849	111164	1.6633083
Fibroblast	Fibro_MMP1	2808	111164	2.5259976
Fibroblast	Fibro_MUSTN1	7287	111164	6.5551797
Fibroblast	Fibro_Mito	11090	111164	9.9762513
Fibroblast	Fibro_POSTN	14990	111164	13.484581
Fibroblast	Fibro_PTGDS	7621	111164	6.8556367
Fibroblast	Fibro_RGS5	9442	111164	8.493757
Fibroblast	Fibro_RRM2	935	111164	0.84109964
Fibroblast	Fibro_TPSAB1	1997	111164	1.7964449
Fibroblast	Fibro_TYROBP	3764	111164	3.3859883
Fibroblast	Fibro_T_Mix	5000	111164	4.497859
Myeloid	Mast	25950	114636	22.636868
Myeloid	Mp_C1QA	23289	114636	20.315608
Myeloid	Mye_B_Mix	663	114636	0.57835235
Myeloid	Mye_CCL19	2935	114636	2.5602777
Myeloid	Mye_CLEC10A	10983	114636	9.58076
Myeloid	Mye_CLEC9A	1318	114636	1.1497261
Myeloid	Mye_EGR1	2044	114636	1.783035
Myeloid	Mye_FCN1	21225	114636	18.515126
Myeloid	Mye_LILRA4	3394	114636	2.9606755
Myeloid	Mye_MKI67	2620	114636	2.285495
Myeloid	Mye_Mito	3086	114636	2.691999
Myeloid	Mye_S100A8	4261	114636	3.7169824
Myeloid	Mye_T_Mix	12868	114636	11.225095
T cells	CD4_CXCL13	13152	302025	4.3546064
T cells	CD4_KLRB1	20635	302025	6.8322159
T cells	CD8_ANXA1	15789	302025	5.2277129
T cells	CD8_CCL5	17401	302025	5.7614436
T cells	CD8_CD74	4820	302025	1.5958944
T cells	CD8_CX3CR1	5319	302025	1.7611125
T cells	CD8_CXCL13	32900	302025	10.893138
T cells	CD8_FOS	20473	302025	6.7785779
T cells	CD8_GZMK	24466	302025	8.1006539
T cells	CD8_IFIT1	5853	302025	1.937919
T cells	CD8_KLRB1	5067	302025	1.6776757
T cells	CD8_TYMS	8936	302025	2.9586955
T cells	NK	12992	302025	4.3016307
T cells	NK_CX3CR1	5385	302025	1.782965
T cells	T_IL7R	27242	302025	9.0197831
T cells	T_MKI67	11065	302025	3.663604
T cells	T_Mito	16101	302025	5.3310156
T cells	T_Ribo	8102	302025	2.6825594
T cells	Treg_LTB	15682	302025	5.1922854
T cells	Treg_TNFRSF4	30645	302025	10.146511
