"gene_symbol"	"immune_direction"	"gene_type"	"interaction_name"	"ligand"	"receptor"
"ADORA2A"	"negative"	"receptor"	"Adenosine-ADO-NT5E_SLC29A1_ADORA2A"	"NT5E, SLC29A1"	"ADORA2A"
"ADORA2A"	"negative"	"receptor"	"Adenosine-ADO-NT5E_SLC29A2_ADORA2A"	"NT5E, SLC29A2"	"ADORA2A"
"ADORA2A"	"negative"	"receptor"	"Adenosine-ADO-NT5E_SLC29A3_ADORA2A"	"NT5E, SLC29A3"	"ADORA2A"
"ADORA2A"	"negative"	"receptor"	"Adenosine-ADO-NT5E_SLC29A4_ADORA2A"	"SLC29A4, NT5E"	"ADORA2A"
"TLR4"	"positive"	"receptor"	"ANGPTL2_TLR4"	"ANGPTL2"	"TLR4"
"BTLA"	"negative"	"ligand"	"BTLA_TNFRSF14"	"BTLA"	"TNFRSF14"
"TNFRSF14"	"positive"	"receptor"	"BTLA_TNFRSF14"	"BTLA"	"TNFRSF14"
"ITGB2"	"positive"	"receptor"	"C3_ITGAM_ITGB2"	"C3"	"ITGAM, ITGB2"
"ITGB2"	"positive"	"receptor"	"C3_ITGAX_ITGB2"	"C3"	"ITGAX, ITGB2"
"CCL5"	"positive"	"ligand"	"CCL5_ACKR1"	"CCL5"	"ACKR1"
"CCL5"	"positive"	"ligand"	"CCL5_ACKR2"	"CCL5"	"ACKR2"
"CCL5"	"positive"	"ligand"	"CCL5_CCR1"	"CCL5"	"CCR1"
"CCL5"	"positive"	"ligand"	"CCL5_CCR3"	"CCL5"	"CCR3"
"CCL5"	"positive"	"ligand"	"CCL5_CCR4"	"CCL5"	"CCR4"
"CCL5"	"positive"	"ligand"	"CCL5_CCR5"	"CCL5"	"CCR5"
"TNFRSF14"	"positive"	"receptor"	"CD160_TNFRSF14"	"CD160"	"TNFRSF14"
"CD274"	"negative"	"ligand"	"CD274_PDCD1"	"CD274"	"PDCD1"
"PDCD1"	"negative"	"receptor"	"CD274_PDCD1"	"CD274"	"PDCD1"
"CD276"	"negative"	"ligand"	"CD276_TREML2"	"CD276"	"TREML2"
"SELP"	"positive"	"receptor"	"CD34_SELP"	"CD34"	"SELP"
"CD40"	"positive"	"receptor"	"CD40LG_CD40"	"CD40LG"	"CD40"
"CD40LG"	"positive"	"ligand"	"CD40LG_CD40"	"CD40LG"	"CD40"
"CD40LG"	"positive"	"ligand"	"CD40LG_ITGA2B_ITGB3"	"CD40LG"	"ITGA2B, ITGB3"
"CD40LG"	"positive"	"ligand"	"CD40LG_ITGA5_ITGB1"	"CD40LG"	"ITGA5, ITGB1"
"ITGB2"	"positive"	"receptor"	"CD40LG_ITGAM_ITGB2"	"CD40LG"	"ITGAM, ITGB2"
"CD40LG"	"positive"	"ligand"	"CD40LG_ITGAM_ITGB2"	"CD40LG"	"ITGAM, ITGB2"
"CD27"	"positive"	"receptor"	"CD70_CD27"	"CD70"	"CD27"
"CD70"	"positive"	"ligand"	"CD70_CD27"	"CD70"	"CD27"
"CD274"	"negative"	"receptor"	"CD80_CD274"	"CD80"	"CD274"
"CD80"	"positive"	"ligand"	"CD80_CD274"	"CD80"	"CD274"
"CD80"	"positive"	"ligand"	"CD80_CD28"	"CD80"	"CD28"
"CD28"	"positive"	"receptor"	"CD80_CD28"	"CD80"	"CD28"
"CTLA4"	"negative"	"receptor"	"CD80_CTLA4"	"CD80"	"CTLA4"
"CD80"	"positive"	"ligand"	"CD80_CTLA4"	"CD80"	"CTLA4"
"CD28"	"positive"	"receptor"	"CD86_CD28"	"CD86"	"CD28"
"CTLA4"	"negative"	"receptor"	"CD86_CTLA4"	"CD86"	"CTLA4"
"CD96"	"negative"	"ligand"	"CD96_NECTIN1"	"CD96"	"NECTIN1"
"CD96"	"negative"	"ligand"	"CD96_PVR"	"CD96"	"PVR"
"CX3CL1"	"positive"	"ligand"	"CX3CL1_CX3CR1"	"CX3CL1"	"CX3CR1"
"CXCL10"	"positive"	"ligand"	"CXCL10_ACKR1"	"CXCL10"	"ACKR1"
"CXCL10"	"positive"	"ligand"	"CXCL10_CXCR3"	"CXCL10"	"CXCR3"
"CXCL9"	"positive"	"ligand"	"CXCL9_ACKR1"	"CXCL9"	"ACKR1"
"CXCL9"	"positive"	"ligand"	"CXCL9_CXCR3"	"CXCL9"	"CXCR3"
"EDNRB"	"negative"	"receptor"	"EDN1_EDNRB"	"EDN1"	"EDNRB"
"EDNRB"	"negative"	"receptor"	"EDN2_EDNRB"	"EDN2"	"EDNRB"
"EDNRB"	"negative"	"receptor"	"EDN3_EDNRB"	"EDN3"	"EDNRB"
"ENTPD1"	"positive"	"ligand"	"ENTPD1_ADORA1"	"ENTPD1"	"ADORA1"
"ADORA2A"	"negative"	"receptor"	"ENTPD1_ADORA2A"	"ENTPD1"	"ADORA2A"
"ENTPD1"	"positive"	"ligand"	"ENTPD1_ADORA2A"	"ENTPD1"	"ADORA2A"
"ENTPD1"	"positive"	"ligand"	"ENTPD1_ADORA2B"	"ENTPD1"	"ADORA2B"
"ENTPD1"	"positive"	"receptor"	"ENTPD1_ADORA3"	"ADORA3"	"ENTPD1"
"ENTPD1"	"positive"	"ligand"	"ENTPD1_TMIGD3"	"ENTPD1"	"TMIGD3"
"ITGB2"	"positive"	"receptor"	"FCER2A_ITGAM_ITGB2"	"FCER2"	"ITGAM, ITGB2"
"ITGB2"	"positive"	"receptor"	"FCER2A_ITGAX_ITGB2"	"FCER2"	"ITGAX, ITGB2"
"ITGB2"	"positive"	"receptor"	"GP1BA_ITGAM_ITGB2"	"GP1BA"	"ITGAM, ITGB2"
"GZMA"	"positive"	"ligand"	"GZMA_F2R"	"GZMA"	"F2R"
"GZMA"	"positive"	"ligand"	"GZMA_F2RL1"	"GZMA"	"F2RL1"
"GZMA"	"positive"	"ligand"	"GZMA_F2RL2"	"GZMA"	"F2RL2"
"GZMA"	"positive"	"ligand"	"GZMA_F2RL3"	"GZMA"	"F2RL3"
"GZMA"	"positive"	"ligand"	"GZMA_PARD3"	"GZMA"	"PARD3"
"KIR3DL1"	"negative"	"receptor"	"HLA-A_KIR3DL1"	"HLA-A"	"KIR3DL1"
"KIR3DL2"	"negative"	"receptor"	"HLA-B_KIR3DL2"	"HLA-B"	"KIR3DL2"
"KIR2DL1"	"negative"	"receptor"	"HLA-C_KIR2DL1"	"HLA-C"	"KIR2DL1"
"KIR2DL2"	"negative"	"receptor"	"HLA-C_KIR2DL2"	"HLA-C"	"KIR2DL2"
"KIR2DL3"	"negative"	"receptor"	"HLA-C_KIR2DL3"	"HLA-C"	"KIR2DL3"
"KIR2DS1"	"positive"	"receptor"	"HLA-C_KIR2DS1"	"HLA-C"	"KIR2DS1"
"KIR2DS4"	"positive"	"receptor"	"HLA-C_KIR2DS4"	"HLA-C"	"KIR2DS4"
