cell_group	gene	cells_in_group	mean_expression	positive_cells	percent_expressed
B & Plasma cells	CXCR4	103212	1.7506333	73017	70.744681
B & Plasma cells	CXCL12	103212	0.0064276903	414	0.40111615
Endothelial	CXCR4	44055	0.19741562	4813	10.92498
Endothelial	CXCL12	44055	0.41378558	10435	23.686301
Epithelial	CXCR4	75040	0.19364842	12184	16.236674
Epithelial	CXCL12	75040	0.022706952	2142	2.8544776
Fibroblast	CXCR4	111164	0.15335025	9712	8.7366414
Fibroblast	CXCL12	111164	0.97276287	61279	55.124861
Myeloid	CXCR4	114636	0.85604423	51012	44.49911
Myeloid	CXCL12	114636	0.018344333	1643	1.4332321
T	CXCR4	302025	2.5299308	256652	84.977071
T	CXCL12	302025	0.0015851926	322	0.10661369
