cell_group	gene	cells_in_group	mean_expression	positive_cells	percent_expressed
CD4_CXCL13	CXCR4	13152	2.844874	12407	94.335462
CD4_KLRB1	CXCR4	20635	2.6133246	18437	89.348195
CD8_ANXA1	CXCR4	15789	3.2353803	15222	96.408892
CD8_CCL5	CXCR4	17401	2.5159616	14743	84.725016
CD8_CD74	CXCR4	4820	2.0080317	3513	72.883817
CD8_CX3CR1	CXCR4	5319	3.0305982	4998	93.965031
CD8_CXCL13	CXCR4	32900	2.450828	28429	86.410334
CD8_FOS	CXCR4	20473	3.0782959	18550	90.607141
CD8_GZMK	CXCR4	24466	3.4323058	23615	96.521704
CD8_IFIT1	CXCR4	5853	2.6477411	5065	86.536819
CD8_KLRB1	CXCR4	5067	2.9212363	4686	92.480758
CD8_TYMS	CXCR4	8936	1.8514126	7334	82.072516
NK	CXCR4	12992	2.6396797	11487	88.415948
NK_CX3CR1	CXCR4	5385	2.6057749	4545	84.401114
T_IL7R	CXCR4	27242	2.9848027	25945	95.238969
T_MKI67	CXCR4	11065	1.8475891	9074	82.006326
T_Mito	CXCR4	16101	1.8601192	9743	60.511769
T_Ribo	CXCR4	8102	1.956895	5400	66.65021
Treg_LTB	CXCR4	15682	2.2930031	12907	82.304553
Treg_TNFRSF4	CXCR4	30645	1.4945101	20552	67.064774
