patient	mandard_group	sample_type	cellgp	gene	logcpm	response
P01	good	Treat	cytotoxic CD8	CCR2	2.262619250017576	WR
P01	good	Treat	cytotoxic CD8	CCR4	2.262619250017576	WR
P01	good	Treat	cytotoxic CD8	CCR5	3.785123581085945	WR
P01	good	Treat	cytotoxic CD8	CCR6	3.567640493219071	WR
P01	good	Treat	cytotoxic CD8	CXCR1	0	WR
P01	good	Treat	cytotoxic CD8	CXCR2	0	WR
P01	good	Treat	cytotoxic CD8	CXCR3	4.992741373637525	WR
P01	good	Treat	cytotoxic CD8	CXCR4	8.357510277616967	WR
P01	good	Treat	cytotoxic CD8	ACKR3	0	WR
P01	good	Treat	cytotoxic CD8	CX3CR1	0	WR
P01	good	Baseline	cytotoxic CD8	CX3CR1	2.5251837377981428	WR
P01	good	Baseline	NK	CCR6	2.889297654629589	WR
P01	good	Baseline	NK	CXCR1	1.2956119011350045	WR
P01	good	Baseline	NK	CXCR2	1.7536794189920546	WR
P01	good	Baseline	other CD8	CCR2	1.1672634348056983	WR
P01	good	Baseline	other CD8	CCR4	3.7095977155835653	WR
P01	good	Baseline	other CD8	CCR5	3.5321616796098936	WR
P01	good	Baseline	other CD8	CCR6	4.735079949867977	WR
P01	good	Baseline	other CD8	CXCR1	0	WR
P01	good	Baseline	other CD8	CXCR2	0	WR
P01	good	Baseline	other CD8	CXCR3	4.928829435329154	WR
P01	good	Baseline	NK	CCR2	0	WR
P01	good	Baseline	NK	CCR4	2.8284599609755254	WR
P01	good	Baseline	NK	CCR5	2.7636799035261568	WR
P01	good	Baseline	Treg	CCR4	4.800956159401089	WR
P01	good	Baseline	Treg	CCR5	3.225354964458752	WR
P01	good	Baseline	Treg	CCR6	5.6186719178749325	WR
P01	good	Baseline	Treg	CXCR1	0	WR
P01	good	Baseline	cytotoxic CD8	CCR2	1.9552733987504922	WR
P01	good	Baseline	cytotoxic CD8	CCR4	2.2964813213602713	WR
P01	good	Baseline	cytotoxic CD8	CCR5	3.671495094993589	WR
P01	good	Baseline	cytotoxic CD8	CCR6	4.032305904400473	WR
P01	good	Baseline	cytotoxic CD8	CXCR1	0.3912870315105642	WR
P01	good	Baseline	cytotoxic CD8	CXCR2	0.7501858620635369	WR
P01	good	Baseline	other CD8	CXCR4	7.509758788894368	WR
P01	good	Baseline	other CD8	ACKR3	0	WR
P01	good	Baseline	other CD8	CX3CR1	1.1672634348056983	WR
P01	good	Baseline	exhausted CD8	CCR5	3.3791870245513898	WR
P01	good	Baseline	exhausted CD8	CCR6	4.422265583935407	WR
P01	good	Baseline	exhausted CD8	CXCR1	0	WR
P01	good	Baseline	exhausted CD8	CXCR2	0	WR
P01	good	Baseline	exhausted CD8	CXCR3	3.800006512568821	WR
P01	good	Baseline	exhausted CD8	CXCR4	7.246641948168362	WR
P01	good	Baseline	exhausted CD8	ACKR3	0.7798389476415725	WR
P01	good	Baseline	exhausted CD8	CX3CR1	0.7798389476415725	WR
P01	good	Baseline	NK	CX3CR1	2.6944109190846275	WR
P01	good	Baseline	Treg	CXCR4	6.777970884881143	WR
P01	good	Baseline	cytotoxic CD8	CXCR3	5.229218877837733	WR
P01	good	Baseline	cytotoxic CD8	CXCR4	7.974939136711084	WR
P01	good	Baseline	cytotoxic CD8	ACKR3	0.14809895890521452	WR
P01	good	Baseline	Treg	CXCR3	4.341635414857852	WR
P01	good	Baseline	NK	ACKR3	0.723333107742698	WR
P01	good	Baseline	Treg	CCR2	0.6571712845989903	WR
P01	good	Baseline	Treg	CXCR2	0	WR
P01	good	Baseline	exhausted CD8	CCR4	3.8174681112776616	WR
P01	good	Baseline	NK	CXCR3	4.703322732460361	WR
P01	good	Baseline	exhausted CD8	CCR2	0.9457827163675046	WR
P01	good	Baseline	NK	CXCR4	7.800343965017336	WR
P01	good	Baseline	Treg	ACKR3	0.5558726039754205	WR
P01	good	Baseline	Treg	CX3CR1	1.1726013308598682	WR
P02	NA	Baseline	NK	CXCR1	0.39668111006966067	NA
P02	NA	Baseline	NK	ACKR3	0.39668111006966067	NA
P02	NA	Baseline	NK	CXCR3	4.613244987671179	NA
P02	NA	Baseline	Treg	ACKR3	1.366606598290819	NA
P02	NA	Baseline	cytotoxic CD8	CCR4	3.4129987654814107	NA
P02	NA	Baseline	NK	CXCR2	0.39668111006966067	NA
P02	NA	Baseline	NK	CCR6	3.5714632515237876	NA
P02	NA	Baseline	NK	CCR5	3.0192177243338243	NA
P02	NA	Baseline	cytotoxic CD8	CXCR2	0	NA
P02	NA	Baseline	NK	CX3CR1	1.233844717018349	NA
P02	NA	Baseline	NK	CXCR4	7.491763452229518	NA
P02	NA	Baseline	cytotoxic CD8	CXCR1	0	NA
P02	NA	Baseline	cytotoxic CD8	CX3CR1	1.3322333866806648	NA
P02	NA	Baseline	exhausted CD8	CXCR3	4.399284461331074	NA
P02	NA	Baseline	cytotoxic CD8	CCR6	3.3590599514123554	NA
P02	NA	Baseline	NK	CCR2	0.9004235548007882	NA
P02	NA	Baseline	NK	CCR4	2.6832579083102575	NA
P02	NA	Baseline	other CD8	CX3CR1	0	NA
P02	NA	Baseline	cytotoxic CD8	CCR5	3.956491809314728	NA
P02	NA	Baseline	exhausted CD8	CX3CR1	0.23955390799688794	NA
P02	NA	Baseline	other CD8	CCR2	1.8614518754009128	NA
P02	NA	Baseline	other CD8	CCR4	3.271632463247933	NA
P02	NA	Baseline	cytotoxic CD8	CXCR3	4.9857927847785835	NA
P02	NA	Baseline	Treg	CXCR3	5.0957995997667735	NA
P02	NA	Baseline	Treg	CXCR4	7.1847468742845555	NA
P02	NA	Baseline	Treg	CXCR2	0	NA
P02	NA	Baseline	exhausted CD8	CXCR1	0	NA
P02	NA	Baseline	exhausted CD8	CXCR2	0	NA
P02	NA	Baseline	Treg	CX3CR1	1.0811312941307127	NA
P02	NA	Baseline	Treg	CCR2	1.8747776558151543	NA
P02	NA	Baseline	exhausted CD8	CXCR4	7.18418188307349	NA
