subtype	response_group	cell_count
B_CD83	NR	2657
B_CD83	R	4194
B_CD83	unknown	1143
B_DUSP4	NR	1084
B_DUSP4	R	1378
B_DUSP4	unknown	515
B_HLA-DRA	NR	7967
B_HLA-DRA	R	16120
B_HLA-DRA	unknown	4154
B_Mito	NR	759
B_Mito	R	1288
B_Mito	unknown	324
B_RGS13	NR	120
B_RGS13	R	919
B_RGS13	unknown	70
B_T_Mix	NR	4345
B_T_Mix	R	4217
B_T_Mix	unknown	1253
CD4_CXCL13	NR	4925
CD4_CXCL13	R	6215
CD4_CXCL13	unknown	2012
CD4_KLRB1	NR	7500
CD4_KLRB1	R	9653
CD4_KLRB1	unknown	3482
CD8_ANXA1	NR	6283
CD8_ANXA1	R	7753
CD8_ANXA1	unknown	1753
CD8_CCL5	NR	6781
CD8_CCL5	R	8134
CD8_CCL5	unknown	2486
CD8_CD74	NR	2172
CD8_CD74	R	1979
CD8_CD74	unknown	669
CD8_CX3CR1	NR	2070
CD8_CX3CR1	R	2391
CD8_CX3CR1	unknown	858
CD8_CXCL13	NR	15675
CD8_CXCL13	R	14034
CD8_CXCL13	unknown	3191
CD8_FOS	NR	7693
CD8_FOS	R	10326
CD8_FOS	unknown	2454
CD8_GZMK	NR	9790
CD8_GZMK	R	11047
CD8_GZMK	unknown	3629
CD8_IFIT1	NR	2002
CD8_IFIT1	R	2502
CD8_IFIT1	unknown	1349
CD8_KLRB1	NR	1536
CD8_KLRB1	R	3028
CD8_KLRB1	unknown	503
CD8_TYMS	NR	4267
CD8_TYMS	R	3427
CD8_TYMS	unknown	1242
Endo_ACKR1	NR	3104
Endo_ACKR1	R	9206
Endo_ACKR1	unknown	444
Endo_CCL21	NR	727
Endo_CCL21	R	1666
Endo_CCL21	unknown	114
Endo_CDH19	NR	748
Endo_CDH19	R	871
Endo_CDH19	unknown	115
Endo_DCN	NR	127
Endo_DCN	R	1063
Endo_IL1B	NR	234
Endo_IL1B	R	913
Endo_IL1B	unknown	143
Endo_KRT15	NR	64
Endo_KRT15	R	687
Endo_KRT15	unknown	11
Endo_MKI67	NR	230
Endo_MKI67	R	297
Endo_MKI67	unknown	66
Endo_Mito	NR	1853
Endo_Mito	R	6335
Endo_Mito	unknown	639
Endo_RGS5	NR	388
Endo_RGS5	R	1013
Endo_RGS5	unknown	6
Endo_SLC9A3R2	NR	2307
Endo_SLC9A3R2	R	6404
Endo_SLC9A3R2	unknown	722
Endo_TPSAB1	NR	166
Endo_TPSAB1	R	387
Endo_TPSAB1	unknown	23
Endo_T_Mix	NR	1044
Endo_T_Mix	R	1669
Endo_T_Mix	unknown	269
Epi_A_IL1R2	NR	1398
Epi_A_IL1R2	R	3891
Epi_A_IL1R2	unknown	437
Epi_A_MGP	NR	540
Epi_A_MGP	R	1860
Epi_A_MGP	unknown	52
Epi_B_Mix	NR	189
Epi_B_Mix	R	59
Epi_B_Mix	unknown	527
Epi_M_ACTL8	unknown	942
Epi_M_CALML3	NR	10961
Epi_M_CALML3	R	18779
Epi_M_CALML3	unknown	6098
Epi_M_CPS1	NR	7715
Epi_M_MYBPC1	NR	4074
Epi_M_MYBPC1	R	1
Epi_M_PKP2	NR	1411
Epi_M_RNASE1	NR	1703
Epi_M_RNASE1	R	8
Epi_M_RNASE1	unknown	8
Epi_M_SPRR3	NR	1019
Epi_M_SPRR3	R	1112
Epi_M_SPRR3	unknown	414
Epi_N_LTF	NR	1
Epi_N_LTF	R	37
Epi_N_PIGR	NR	477
Epi_N_PIGR	R	4014
Epi_N_PIGR	unknown	245
Epi_T_Mix	NR	2846
Epi_T_Mix	R	3074
Epi_T_Mix	unknown	1148
Fibro_ACKR1	NR	176
Fibro_ACKR1	R	845
Fibro_ACKR1	unknown	5
Fibro_B_Mix	NR	184
Fibro_B_Mix	R	537
Fibro_B_Mix	unknown	35
Fibro_C7	NR	4418
Fibro_C7	R	9051
Fibro_C7	unknown	9
Fibro_CFD	NR	5722
Fibro_CFD	R	11239
Fibro_CFD	unknown	6
Fibro_CLDN1	NR	185
Fibro_CLDN1	R	429
Fibro_CLDN1	unknown	1
Fibro_CXCL2	NR	3892
Fibro_CXCL2	R	5689
Fibro_CXCL2	unknown	281
Fibro_DES	NR	432
Fibro_DES	R	1198
Fibro_DES	unknown	47
Fibro_KRT17	NR	1131
Fibro_KRT17	R	676
Fibro_KRT17	unknown	42
Fibro_MMP1	NR	1546
Fibro_MMP1	R	909
Fibro_MMP1	unknown	353
Fibro_MUSTN1	NR	1754
Fibro_MUSTN1	R	5337
Fibro_MUSTN1	unknown	196
Fibro_Mito	NR	4053
Fibro_Mito	R	6747
Fibro_Mito	unknown	290
Fibro_POSTN	NR	6915
Fibro_POSTN	R	7451
Fibro_POSTN	unknown	624
