subtype	sample_type_plot	cell_count
B_CD83	post	2938
B_CD83	pre	5056
B_DUSP4	post	861
B_DUSP4	pre	2116
B_HLA-DRA	post	10539
B_HLA-DRA	pre	17702
B_Mito	post	1027
B_Mito	pre	1344
B_RGS13	post	523
B_RGS13	pre	586
B_T_Mix	post	2464
B_T_Mix	pre	7351
CD4_CXCL13	post	3948
CD4_CXCL13	pre	9204
CD4_KLRB1	post	5152
CD4_KLRB1	pre	15483
CD8_ANXA1	post	5963
CD8_ANXA1	pre	9826
CD8_CCL5	post	6222
CD8_CCL5	pre	11179
CD8_CD74	post	1078
CD8_CD74	pre	3742
CD8_CX3CR1	post	1485
CD8_CX3CR1	pre	3834
CD8_CXCL13	post	9369
CD8_CXCL13	pre	23531
CD8_FOS	post	8653
CD8_FOS	pre	11820
CD8_GZMK	post	7959
CD8_GZMK	pre	16507
CD8_IFIT1	post	807
CD8_IFIT1	pre	5046
CD8_KLRB1	post	852
CD8_KLRB1	pre	4215
CD8_TYMS	post	2036
CD8_TYMS	pre	6900
Endo_ACKR1	post	11057
Endo_ACKR1	pre	1697
Endo_CCL21	post	1743
Endo_CCL21	pre	764
Endo_CDH19	post	1425
Endo_CDH19	pre	309
Endo_DCN	post	1174
Endo_DCN	pre	16
Endo_IL1B	post	961
Endo_IL1B	pre	329
Endo_KRT15	post	700
Endo_KRT15	pre	62
Endo_MKI67	post	257
Endo_MKI67	pre	336
Endo_Mito	post	6493
Endo_Mito	pre	2334
Endo_RGS5	post	1304
Endo_RGS5	pre	103
Endo_SLC9A3R2	post	6550
Endo_SLC9A3R2	pre	2883
Endo_TPSAB1	post	451
Endo_TPSAB1	pre	125
Endo_T_Mix	post	1725
Endo_T_Mix	pre	1257
Epi_A_IL1R2	post	3151
Epi_A_IL1R2	pre	2575
Epi_A_MGP	post	2096
Epi_A_MGP	pre	356
Epi_B_Mix	pre	775
Epi_M_ACTL8	pre	942
Epi_M_CALML3	post	7339
Epi_M_CALML3	pre	28499
Epi_M_CPS1	pre	7715
Epi_M_MYBPC1	post	4047
Epi_M_MYBPC1	pre	28
Epi_M_PKP2	post	610
Epi_M_PKP2	pre	801
Epi_M_RNASE1	post	1
Epi_M_RNASE1	pre	1718
Epi_M_SPRR3	post	1155
Epi_M_SPRR3	pre	1390
Epi_N_LTF	pre	38
Epi_N_PIGR	post	3762
Epi_N_PIGR	pre	974
Epi_T_Mix	post	1223
Epi_T_Mix	pre	5845
Fibro_ACKR1	post	970
Fibro_ACKR1	pre	56
Fibro_B_Mix	post	556
Fibro_B_Mix	pre	200
Fibro_C7	post	13325
Fibro_C7	pre	153
Fibro_CFD	post	16915
Fibro_CFD	pre	52
Fibro_CLDN1	post	605
Fibro_CLDN1	pre	10
Fibro_CXCL2	post	7644
Fibro_CXCL2	pre	2218
Fibro_DES	post	1405
Fibro_DES	pre	272
Fibro_KRT17	post	729
Fibro_KRT17	pre	1120
Fibro_MMP1	post	862
Fibro_MMP1	pre	1946
Fibro_MUSTN1	post	6217
Fibro_MUSTN1	pre	1070
Fibro_Mito	post	8736
Fibro_Mito	pre	2354
Fibro_POSTN	post	10334
Fibro_POSTN	pre	4656
Fibro_PTGDS	post	5758
Fibro_PTGDS	pre	1863
Fibro_RGS5	post	6671
Fibro_RGS5	pre	2771
Fibro_RRM2	post	471
Fibro_RRM2	pre	464
Fibro_TPSAB1	post	1614
Fibro_TPSAB1	pre	383
Fibro_TYROBP	post	2858
Fibro_TYROBP	pre	906
Fibro_T_Mix	post	2906
Fibro_T_Mix	pre	2094
Mast	post	9505
Mast	pre	16445
Mp_C1QA	post	7949
Mp_C1QA	pre	15340
Mye_B_Mix	post	254
Mye_B_Mix	pre	409
Mye_CCL19	post	256
Mye_CCL19	pre	2679
Mye_CLEC10A	post	3526
Mye_CLEC10A	pre	7457
Mye_CLEC9A	post	400
Mye_CLEC9A	pre	918
Mye_EGR1	post	899
Mye_EGR1	pre	1145
Mye_FCN1	post	6317
Mye_FCN1	pre	14908
Mye_LILRA4	post	381
Mye_LILRA4	pre	3013
Mye_MKI67	post	659
Mye_MKI67	pre	1961
Mye_Mito	post	1301
Mye_Mito	pre	1785
Mye_S100A8	post	1358
Mye_S100A8	pre	2903
Mye_T_Mix	post	2503
Mye_T_Mix	pre	10365
NK	post	2938
NK	pre	10054
NK_CX3CR1	post	1016
NK_CX3CR1	pre	4369
Plasma_CPA3	post	264
Plasma_CPA3	pre	753
Plasma_CXCL8	post	685
Plasma_CXCL8	pre	2740
Plasma_DCN	post	1484
Plasma_DCN	pre	736
Plasma_IGHG1	post	1065
Plasma_IGHG1	pre	4968
Plasma_IGKC	post	2632
Plasma_IGKC	pre	10421
Plasma_RRM2	post	633
Plasma_RRM2	pre	2227
Plasma_S100A6	post	789
Plasma_S100A6	pre	1645
Plasma_SSR4	post	4225
Plasma_SSR4	pre	15438
T_IL7R	post	7926
T_IL7R	pre	19316
T_MKI67	post	2144
T_MKI67	pre	8921
T_Mito	post	6481
T_Mito	pre	9620
T_Ribo	post	3452
T_Ribo	pre	4650
Treg_LTB	post	3436
Treg_LTB	pre	12246
Treg_TNFRSF4	post	5487
Treg_TNFRSF4	pre	25158
