patient	macrotype	cell_type	cell_count	total_epithelial_cells	percent_in_patient
P01	Epi_Normal	Epi_A_IL1R2	174	2272	7.658450704225352
P01	Epi_Normal	Epi_A_MGP	165	2272	7.262323943661972
P01	Epi_Normal	Epi_N_LTF	37	2272	1.6285211267605635
P01	Epi_Normal	Epi_N_PIGR	452	2272	19.8943661971831
P01	Mixture	Epi_B_Mix	57	2272	2.5088028169014085
P01	Mixture	Epi_T_Mix	194	2272	8.538732394366198
P01	Tumor_Gp1	Epi_M_CALML3	1162	2272	51.144366197183096
P01	Tumor_Gp2	Epi_M_SPRR3	31	2272	1.3644366197183098
P02	Epi_Normal	Epi_A_IL1R2	83	225	36.888888888888886
P02	Epi_Normal	Epi_A_MGP	1	225	0.4444444444444444
P02	Mixture	Epi_T_Mix	68	225	30.22222222222222
P02	Tumor_Gp1	Epi_M_CALML3	71	225	31.555555555555557
P02	Tumor_Gp2	Epi_M_SPRR3	2	225	0.8888888888888888
P03	Epi_Normal	Epi_A_IL1R2	273	406	67.24137931034483
P03	Epi_Normal	Epi_N_PIGR	6	406	1.477832512315271
P03	Mixture	Epi_T_Mix	28	406	6.896551724137931
P03	Tumor_Gp1	Epi_M_CALML3	97	406	23.891625615763548
P03	Tumor_Gp2	Epi_M_RNASE1	1	406	0.24630541871921183
P03	Tumor_Gp2	Epi_M_SPRR3	1	406	0.24630541871921183
P04	Epi_Normal	Epi_A_IL1R2	117	2141	5.4647361046240075
P04	Epi_Normal	Epi_A_MGP	116	2141	5.41802895843064
P04	Epi_Normal	Epi_N_PIGR	74	2141	3.4563288183092014
P04	Mixture	Epi_T_Mix	346	2141	16.160672582905185
P04	Tumor_Gp1	Epi_M_CALML3	74	2141	3.4563288183092014
P04	Tumor_Gp2	Epi_M_PKP2	1411	2141	65.90378327884166
P04	Tumor_Gp2	Epi_M_SPRR3	3	2141	0.14012143858010276
P05	Epi_Normal	Epi_A_IL1R2	194	1363	14.233308877476155
P05	Epi_Normal	Epi_A_MGP	56	1363	4.108584005869406
P05	Epi_Normal	Epi_N_PIGR	2	1363	0.1467351430667645
P05	Mixture	Epi_T_Mix	172	1363	12.619222303741747
P05	Tumor_Gp1	Epi_M_CALML3	934	1363	68.52531181217901
P05	Tumor_Gp2	Epi_M_SPRR3	5	1363	0.36683785766691124
P06	Epi_Normal	Epi_A_IL1R2	147	620	23.70967741935484
P06	Epi_Normal	Epi_A_MGP	10	620	1.6129032258064515
P06	Mixture	Epi_T_Mix	98	620	15.806451612903226
P06	Tumor_Gp1	Epi_M_CALML3	365	620	58.87096774193548
P07	Epi_Normal	Epi_A_IL1R2	366	2651	13.806110901546587
P07	Epi_Normal	Epi_A_MGP	90	2651	3.3949453036589965
P07	Epi_Normal	Epi_N_PIGR	4	2651	0.15088645794039984
P07	Mixture	Epi_B_Mix	1	2651	0.03772161448509996
P07	Mixture	Epi_T_Mix	338	2651	12.749905695963788
P07	Tumor_Gp1	Epi_M_CALML3	1852	2651	69.86043002640513
P08	Epi_Normal	Epi_A_IL1R2	203	579	35.060449050086355
P08	Epi_Normal	Epi_A_MGP	18	579	3.1088082901554404
P08	Epi_Normal	Epi_N_PIGR	5	579	0.8635578583765112
P08	Mixture	Epi_B_Mix	1	579	0.17271157167530224
P08	Mixture	Epi_T_Mix	103	579	17.78929188255613
P08	Tumor_Gp1	Epi_M_CALML3	245	579	42.314335060449054
P08	Tumor_Gp2	Epi_M_MYBPC1	1	579	0.17271157167530224
P08	Tumor_Gp2	Epi_M_SPRR3	3	579	0.5181347150259067
P09	Epi_Normal	Epi_A_IL1R2	24	2891	0.8301625735039778
P09	Epi_Normal	Epi_A_MGP	39	2891	1.349014181943964
P09	Epi_Normal	Epi_N_PIGR	3	2891	0.10377032168799723
P09	Mixture	Epi_T_Mix	377	2891	13.040470425458318
