cell_group	gene	cells_in_group	mean_expression	positive_cells	percent_expressed
Epi_Normal	EPCAM	12952	0.44570228	5526	42.665225
Epi_Normal	KRT14	12952	2.4170806	8959	69.170784
Epi_Normal	KRT15	12952	2.5667621	9453	72.984867
Epi_Normal	KRT6B	12952	0.38713748	3307	25.532736
Epi_Normal	LGALS7B	12952	0.69747185	5652	43.638048
Epi_Normal	KRT16	12952	0.52434301	4212	32.520074
Epi_Normal	LY6D	12952	0.48480024	3538	27.316245
Epi_Normal	TP63	12952	0.72569564	6798	52.486103
Epi_Normal	LAMB3	12952	0.79308791	8088	62.445954
Epi_Normal	CD74	12952	2.5674069	11643	89.893453
Epi_Normal	PTGES	12952	0.17478623	3114	24.042619
Epi_Normal	S100P	12952	0.1992746	1498	11.565781
Epi_Normal	RUNX3	12952	0.045895737	1016	7.8443484
Epi_Normal	TGFB1	12952	0.35701679	5229	40.372143
Epi_Normal	CEACAM1	12952	0.17544152	2723	21.02378
Epi_Normal	OAS1	12952	0.18318034	3405	26.289376
Epi_Normal	HLA-E	12952	1.479506	11058	85.376776
Epi_Normal	CTSD	12952	1.0467995	9675	74.698888
Epi_Normal	MUC1	12952	0.33500152	3617	27.926189
Epi_Normal	PTGS2	12952	0.07528458	1302	10.052502
Epi_Normal	PINK1	12952	0.16404792	3502	27.038295
Epi_Normal	BCL2L1	12952	0.25038132	4424	34.156887
Epi_Normal	SOD2	12952	1.4484512	9760	75.355158
Epi_Normal	CCT3	12952	0.57029294	7827	60.430821
Epi_Normal	PARP1	12952	0.35473039	5965	46.054663
Mixture	EPCAM	7843	0.42011537	2878	36.695142
Mixture	KRT14	7843	2.3842804	5655	72.102512
Mixture	KRT15	7843	1.6408203	4828	61.558077
Mixture	KRT6B	7843	0.98727703	3849	49.075609
Mixture	LGALS7B	7843	0.95096282	4056	51.714905
Mixture	KRT16	7843	1.2519021	4391	55.98623
Mixture	LY6D	7843	0.9848829	3612	46.053806
Mixture	TP63	7843	0.82816161	4603	58.689277
Mixture	LAMB3	7843	0.56146915	3583	45.684049
Mixture	CD74	7843	2.679505	7246	92.388117
Mixture	PTGES	7843	0.11316369	1213	15.466021
Mixture	S100P	7843	0.18635385	1122	14.30575
Mixture	RUNX3	7843	0.21927005	2099	26.762718
Mixture	TGFB1	7843	0.77239962	4882	62.246589
Mixture	CEACAM1	7843	0.025280801	339	4.3223256
Mixture	OAS1	7843	0.24480569	2332	29.73352
Mixture	HLA-E	7843	1.6213469	6565	83.705215
Mixture	CTSD	7843	1.1186789	5567	70.980492
Mixture	MUC1	7843	0.070903177	745	9.4989162
Mixture	PTGS2	7843	0.20915845	1460	18.615326
Mixture	PINK1	7843	0.11914709	1537	19.597093
Mixture	BCL2L1	7843	0.16060855	1861	23.728165
Mixture	SOD2	7843	1.4284563	5907	75.315568
Mixture	CCT3	7843	0.71165089	4678	59.645544
Mixture	PARP1	7843	0.51101997	3976	50.694887
Tumor_Gp1	EPCAM	35838	0.71508138	21592	60.248898
Tumor_Gp1	KRT14	35838	2.6677871	26909	75.085105
Tumor_Gp1	KRT15	35838	1.7992942	26061	72.718902
Tumor_Gp1	KRT6B	35838	1.4387748	23568	65.762598
Tumor_Gp1	LGALS7B	35838	1.3210807	24397	68.075785
Tumor_Gp1	KRT16	35838	1.5279634	24458	68.245996
Tumor_Gp1	LY6D	35838	1.3385802	21259	59.319717
Tumor_Gp1	TP63	35838	1.1404907	27999	78.12657
Tumor_Gp1	LAMB3	35838	0.90037276	23703	66.139293
Tumor_Gp1	CD74	35838	0.8806492	15214	42.452146
Tumor_Gp1	PTGES	35838	0.18991556	9994	27.886601
Tumor_Gp1	S100P	35838	0.23042555	6456	18.014398
Tumor_Gp1	RUNX3	35838	0.037124956	3292	9.1857805
Tumor_Gp1	TGFB1	35838	0.45769748	19122	53.356772
Tumor_Gp1	CEACAM1	35838	0.020194462	1457	4.065517
Tumor_Gp1	OAS1	35838	0.26034951	13006	36.291088
Tumor_Gp1	HLA-E	35838	1.0956311	27537	76.837435
Tumor_Gp1	CTSD	35838	1.0786517	27051	75.481333
Tumor_Gp1	MUC1	35838	0.099057771	6114	17.060104
Tumor_Gp1	PTGS2	35838	0.088844861	4527	12.631843
Tumor_Gp1	PINK1	35838	0.15685201	10981	30.640661
Tumor_Gp1	BCL2L1	35838	0.18038549	12207	34.061611
Tumor_Gp1	SOD2	35838	1.1154357	26511	73.974552
Tumor_Gp1	CCT3	35838	0.91226746	26814	74.820023
Tumor_Gp1	PARP1	35838	0.6515827	23597	65.843518
Tumor_Gp2	EPCAM	18407	0.54910354	9068	49.263867
Tumor_Gp2	KRT14	18407	0.41330394	4350	23.632314
Tumor_Gp2	KRT15	18407	1.0952497	8823	47.932852
Tumor_Gp2	KRT6B	18407	0.48359052	6436	34.964959
Tumor_Gp2	LGALS7B	18407	0.2991113	3919	21.290813
Tumor_Gp2	KRT16	18407	1.1044049	11999	65.187157
Tumor_Gp2	LY6D	18407	0.57328807	5150	27.978486
Tumor_Gp2	TP63	18407	0.5715298	7474	40.604118
Tumor_Gp2	LAMB3	18407	0.59853109	10663	57.929049
Tumor_Gp2	CD74	18407	2.8023801	14182	77.046776
Tumor_Gp2	PTGES	18407	0.79989895	8790	47.753572
Tumor_Gp2	S100P	18407	0.79109773	8951	48.628239
Tumor_Gp2	RUNX3	18407	0.15068247	4430	24.066931
Tumor_Gp2	TGFB1	18407	0.57136264	10515	57.125007
Tumor_Gp2	CEACAM1	18407	0.12601885	2224	12.08236
Tumor_Gp2	OAS1	18407	0.32439212	6684	36.312273
Tumor_Gp2	HLA-E	18407	1.3608072	16030	87.086435
Tumor_Gp2	CTSD	18407	1.301075	14747	80.11626
Tumor_Gp2	MUC1	18407	0.63956761	9161	49.76911
Tumor_Gp2	PTGS2	18407	0.61663625	7927	43.065138
Tumor_Gp2	PINK1	18407	0.27461118	7256	39.419786
Tumor_Gp2	BCL2L1	18407	0.29787513	7640	41.505949
Tumor_Gp2	SOD2	18407	1.649034	14750	80.132558
Tumor_Gp2	CCT3	18407	1.2684979	14963	81.289727
Tumor_Gp2	PARP1	18407	0.82182567	12691	68.946596
