source	target	edge_color	n_interaction	prob_mean	prob_med	response	sample_type	immune_direction
B & Plasma	T cells	#e71818	1	0.0024333089530156407	0.0024333089530156407	NR	post	positive
B & Plasma	T cells	#e71818	1	0.0023648247965986965	0.0023648247965986965	R	post	positive
B & Plasma	T cells	#e71818	4	0.0030936665867678168	0.0028313039271455694	NR	pre	positive
B & Plasma	T cells	#e71818	3	0.00339899869885032	0.0038014659032343163	R	pre	positive
Endothelial	T cells	#46ae46	1	0.013543405140031125	0.013543405140031125	NR	post	negative
Endothelial	T cells	#46ae46	3	0.012496066351298088	0.009512059142855233	NR	pre	positive
Endothelial	T cells	#46ae46	2	0.011142697201539202	0.011142697201539202	NR	pre	negative
Endothelial	T cells	#46ae46	3	0.013502535936144557	0.011557176112843072	R	post	positive
Endothelial	T cells	#46ae46	1	0.012637185000083685	0.012637185000083685	R	post	negative
Endothelial	T cells	#46ae46	3	0.013866898741328402	0.010669589960287757	R	pre	positive
Endothelial	T cells	#46ae46	3	0.011058456657826172	0.0048131980711483505	R	pre	negative
Fibroblast	T cells	#9c4da5	1	0.010298182740545529	0.010298182740545529	R	post	positive
Fibroblast	T cells	#9c4da5	1	0.005823918132562983	0.005823918132562983	NR	post	negative
Fibroblast	T cells	#9c4da5	1	0.02139196306808502	0.02139196306808502	R	pre	positive
Fibroblast	T cells	#9c4da5	1	0.017327264728779036	0.017327264728779036	NR	pre	positive
Fibroblast	T cells	#9c4da5	1	0.012720745113441765	0.012720745113441765	NR	pre	negative
Fibroblast	T cells	#9c4da5	1	0.0023090146718614066	0.0023090146718614066	R	post	negative
Fibroblast	T cells	#9c4da5	3	0.007632552690309488	0.0031897764703205248	R	pre	negative
Myeloid	T cells	#f782bd	3	0.009809487090901662	0.01026599052123566	NR	post	negative
Myeloid	T cells	#f782bd	3	0.006860863864340624	0.006571912036550836	NR	pre	negative
Myeloid	T cells	#f782bd	1	0.005250420306072843	0.005250420306072843	NR	post	positive
Myeloid	T cells	#f782bd	4	0.007797845197504212	0.003635769392034182	NR	pre	positive
Myeloid	T cells	#f782bd	2	0.011636970925587565	0.011636970925587565	R	post	positive
Myeloid	T cells	#f782bd	2	0.0023395180640327948	0.0023395180640327948	R	post	negative
Myeloid	T cells	#f782bd	4	0.008393593562617435	0.003441390193525032	R	pre	positive
Myeloid	T cells	#f782bd	4	0.008181724410259033	0.006485221380570517	R	pre	negative
T cells	T cells	#bd9ece	1	0.00299901218766857	0.00299901218766857	NR	pre	positive
Tumor_Gp1	T cells	#317dbd	2	0.005012981229558165	0.005012981229558165	NR	post	negative
Tumor_Gp1	T cells	#317dbd	1	0.010682634670969866	0.010682634670969866	R	post	negative
Tumor_Gp1	T cells	#317dbd	3	0.008122064868563157	0.0048831833908741604	R	pre	positive
Tumor_Gp1	T cells	#317dbd	3	0.005833886332566584	0.006073986225482486	R	pre	negative
Tumor_Gp1	T cells	#317dbd	2	0.009368716309877413	0.009368716309877413	NR	pre	positive
Tumor_Gp1	T cells	#317dbd	3	0.0050591649316254934	0.005350228353740423	NR	pre	negative
Tumor_Gp2	T cells	#f79600	1	0.012063070475209329	0.012063070475209329	NR	pre	negative
Tumor_Gp2	T cells	#f79600	2	0.00993692340766801	0.00993692340766801	NR	post	negative
