cell_group	gene	cells_in_group	mean_expression	positive_cells	percent_expressed
CD4_CXCL13	NCAM1	13152	0.0014726453	17	0.12925791
CD4_CXCL13	FCER1G	13152	0.010664775	119	0.90480535
CD4_CXCL13	KLRC1	13152	0.0032064271	34	0.25851582
CD4_CXCL13	TYROBP	13152	0.017158101	184	1.3990268
CD4_CXCL13	CD3E	13152	2.2249173	12534	95.301095
CD4_CXCL13	CD4	13152	0.6881351	6385	48.547749
CD4_CXCL13	TNFRSF4	13152	1.3876955	8755	66.567822
CD4_CXCL13	CD8A	13152	0.060244652	419	3.1858273
CD4_CXCL13	CD8B	13152	0.040370839	355	2.6992092
CD4_CXCL13	FOXP3	13152	0.11062534	943	7.1700122
CD4_CXCL13	IKZF2	13152	0.13288701	1248	9.4890511
CD4_CXCL13	CCR7	13152	1.0071601	6241	47.452859
CD4_CXCL13	SELL	13152	0.63197761	5056	38.442822
CD4_CXCL13	TCF7	13152	0.79046747	6071	46.16028
CD4_CXCL13	IL7R	13152	1.6710219	9843	74.840328
CD4_CXCL13	PDCD1	13152	0.69757546	5805	44.137774
CD4_CXCL13	HAVCR2	13152	0.11823553	1179	8.9644161
CD4_CXCL13	ENTPD1	13152	0.24409416	2148	16.332117
CD4_CXCL13	TNFRSF9	13152	0.16814887	1504	11.435523
CD4_CXCL13	CXCL13	13152	2.0032962	7654	58.196472
CD4_CXCL13	CST7	13152	0.49728141	3997	30.390815
CD4_CXCL13	GZMH	13152	0.047821191	416	3.163017
CD4_CXCL13	GZMK	13152	0.075482193	488	3.7104623
CD4_CXCL13	GZMM	13152	0.57743291	5406	41.104015
CD4_CXCL13	IFNG	13152	0.21313621	1654	12.576034
CD4_CXCL13	PRF1	13152	0.19124665	1836	13.959854
CD4_CXCL13	KLRG1	13152	0.042949881	500	3.8017032
CD4_CXCL13	NKG7	13152	0.12913111	1027	7.8086983
CD4_CXCL13	GZMA	13152	0.21531753	1492	11.344282
CD4_CXCL13	CD101	13152	0.043795575	495	3.7636861
CD4_CXCL13	CXCR6	13152	0.32200816	2366	17.989659
CD4_CXCL13	CD69	13152	1.1042446	7398	56.25
CD4_CXCL13	CX3CR1	13152	0.00074787828	11	0.08363747
CD4_CXCL13	ITGAE	13152	0.38692965	3806	28.938564
CD4_CXCL13	MT-ATP6	13152	2.2095072	12060	91.69708
CD4_CXCL13	MT-ND3	13152	1.7127035	11047	83.99483
CD4_CXCL13	ANXA1	13152	0.74673368	4667	35.485097
CD4_CXCL13	CCL5	13152	0.32163537	1944	14.781022
CD4_CXCL13	KLRB1	13152	0.99354837	6954	52.874088
CD4_CXCL13	MKI67	13152	0.026837097	315	2.395073
CD4_CXCL13	RPL30	13152	3.7036041	13109	99.673054
CD4_KLRB1	NCAM1	20635	0.0011175967	18	0.087230434
CD4_KLRB1	FCER1G	20635	0.012530532	212	1.0273807
CD4_KLRB1	KLRC1	20635	0.017597432	208	1.0079961
CD4_KLRB1	TYROBP	20635	0.022217231	356	1.7252241
CD4_KLRB1	CD3E	20635	2.4786265	20213	97.954931
CD4_KLRB1	CD4	20635	0.60392638	8936	43.305064
CD4_KLRB1	TNFRSF4	20635	0.91344054	9863	47.797432
CD4_KLRB1	CD8A	20635	0.13228432	1360	6.5907439
CD4_KLRB1	CD8B	20635	0.061860919	776	3.7606009
CD4_KLRB1	FOXP3	20635	0.19375515	2403	11.645263
CD4_KLRB1	IKZF2	20635	0.054612376	863	4.1822147
CD4_KLRB1	CCR7	20635	0.4328656	4446	21.545917
CD4_KLRB1	SELL	20635	0.32200641	4252	20.605767
CD4_KLRB1	TCF7	20635	0.18862658	2839	13.758178
CD4_KLRB1	IL7R	20635	1.9791112	15991	77.494548
CD4_KLRB1	PDCD1	20635	0.6156691	8072	39.118003
CD4_KLRB1	HAVCR2	20635	0.12054983	1890	9.1591955
CD4_KLRB1	ENTPD1	20635	0.275044	3669	17.78047
CD4_KLRB1	TNFRSF9	20635	0.085160471	1296	6.2805912
CD4_KLRB1	CXCL13	20635	0.4967843	3783	18.332929
CD4_KLRB1	CST7	20635	0.91321319	10971	53.166949
CD4_KLRB1	GZMH	20635	0.146751	1845	8.9411195
CD4_KLRB1	GZMK	20635	0.12908702	1280	6.2030531
CD4_KLRB1	GZMM	20635	0.62312397	8927	43.261449
CD4_KLRB1	IFNG	20635	0.18023479	2137	10.356191
CD4_KLRB1	PRF1	20635	0.26483884	3816	18.492852
CD4_KLRB1	KLRG1	20635	0.047330466	830	4.0222922
CD4_KLRB1	NKG7	20635	0.23094304	3002	14.548098
CD4_KLRB1	GZMA	20635	1.1495239	10798	52.328568
CD4_KLRB1	CD101	20635	0.096085691	1546	7.492125
CD4_KLRB1	CXCR6	20635	1.1094229	11652	56.467167
CD4_KLRB1	CD69	20635	1.5347441	14256	69.086504
CD4_KLRB1	CX3CR1	20635	0.00057323834	13	0.062999758
CD4_KLRB1	ITGAE	20635	0.52802965	7285	35.304095
CD4_KLRB1	MT-ATP6	20635	2.0590388	18387	89.105888
CD4_KLRB1	MT-ND3	20635	1.5757246	16529	80.101769
CD4_KLRB1	ANXA1	20635	1.3625458	12025	58.274776
CD4_KLRB1	CCL5	20635	0.88800183	7283	35.294403
CD4_KLRB1	KLRB1	20635	1.4514644	13660	66.198207
CD4_KLRB1	MKI67	20635	0.029207496	504	2.4424521
CD4_KLRB1	RPL30	20635	3.6607252	20600	99.830385
CD8_ANXA1	NCAM1	15789	0.029463265	335	2.1217303
CD8_ANXA1	FCER1G	15789	0.015283516	181	1.1463677
CD8_ANXA1	KLRC1	15789	0.41336996	3689	23.364368
CD8_ANXA1	TYROBP	15789	0.066509027	619	3.9204509
CD8_ANXA1	CD3E	15789	2.3173245	15170	96.079549
CD8_ANXA1	CD4	15789	0.059953142	733	4.6424726
CD8_ANXA1	TNFRSF4	15789	0.086344741	957	6.0611818
CD8_ANXA1	CD8A	15789	1.9592177	12796	81.043765
CD8_ANXA1	CD8B	15789	1.2279361	10397	65.849642
CD8_ANXA1	FOXP3	15789	0.019051793	222	1.4060422
CD8_ANXA1	IKZF2	15789	0.053476281	622	3.9394515
CD8_ANXA1	CCR7	15789	0.54974831	4352	27.563494
CD8_ANXA1	SELL	15789	0.19228359	1993	12.622712
CD8_ANXA1	TCF7	15789	0.38992797	4261	26.987143
CD8_ANXA1	IL7R	15789	2.1629831	12680	80.309076
CD8_ANXA1	PDCD1	15789	0.41054683	4123	26.113117
CD8_ANXA1	HAVCR2	15789	0.06988587	813	5.1491545
CD8_ANXA1	ENTPD1	15789	0.079621763	880	5.5735005
CD8_ANXA1	TNFRSF9	15789	0.13985857	1496	9.4749509
CD8_ANXA1	CXCL13	15789	0.12737893	911	5.7698398
CD8_ANXA1	CST7	15789	1.7372646	12927	81.873456
CD8_ANXA1	GZMH	15789	0.84706253	7188	45.525366
CD8_ANXA1	GZMK	15789	0.79840734	5790	36.6711
CD8_ANXA1	GZMM	15789	0.92155944	9156	57.98974
CD8_ANXA1	IFNG	15789	0.49580655	3834	24.282728
CD8_ANXA1	PRF1	15789	0.98130649	8502	53.847615
CD8_ANXA1	KLRG1	15789	0.15579994	1737	11.00133
CD8_ANXA1	NKG7	15789	2.0529265	13314	84.32453
CD8_ANXA1	GZMA	15789	1.4891472	10725	67.927038
CD8_ANXA1	CD101	15789	0.1187467	1429	9.0506049
CD8_ANXA1	CXCR6	15789	0.53782114	4992	31.616949
CD8_ANXA1	CD69	15789	1.9340305	12606	79.840395
CD8_ANXA1	CX3CR1	15789	0.003881579	51	0.32300969
CD8_ANXA1	ITGAE	15789	0.63619525	6329	40.084869
CD8_ANXA1	MT-ATP6	15789	2.5219813	15011	95.072519
CD8_ANXA1	MT-ND3	15789	2.0436322	14090	89.239344
CD8_ANXA1	ANXA1	15789	2.260787	13812	87.478624
CD8_ANXA1	CCL5	15789	3.3434904	15505	98.201279
CD8_ANXA1	KLRB1	15789	0.52770792	4254	26.942808
CD8_ANXA1	MKI67	15789	0.019137081	227	1.4377098
CD8_ANXA1	RPL30	15789	3.8549032	15776	99.917664
CD8_CCL5	NCAM1	17401	0.062140727	740	4.2526292
CD8_CCL5	FCER1G	17401	0.036252601	409	2.3504396
CD8_CCL5	KLRC1	17401	0.33155181	2981	17.131199
CD8_CCL5	TYROBP	17401	0.27741277	2217	12.740647
CD8_CCL5	CD3E	17401	2.4310535	16648	95.672662
CD8_CCL5	CD4	17401	0.024739057	319	1.833228
CD8_CCL5	TNFRSF4	17401	0.049208958	615	3.5342796
CD8_CCL5	CD8A	17401	1.9560938	13542	77.823114
CD8_CCL5	CD8B	17401	1.247393	10875	62.496408
CD8_CCL5	FOXP3	17401	0.015312328	176	1.0114361
CD8_CCL5	IKZF2	17401	0.21562636	2514	14.447446
CD8_CCL5	CCR7	17401	0.085178017	962	5.5284179
CD8_CCL5	SELL	17401	0.12751612	1541	8.8558129
CD8_CCL5	TCF7	17401	0.15307707	1799	10.338486
CD8_CCL5	IL7R	17401	0.6908253	5248	30.159186
CD8_CCL5	PDCD1	17401	0.4278531	4495	25.831849
CD8_CCL5	HAVCR2	17401	0.33088395	3707	21.303373
CD8_CCL5	ENTPD1	17401	0.30183033	3139	18.039193
CD8_CCL5	TNFRSF9	17401	0.27809635	3036	17.447273
CD8_CCL5	CXCL13	17401	0.43111843	3073	17.659905
CD8_CCL5	CST7	17401	2.2600023	15514	89.155796
CD8_CCL5	GZMH	17401	1.8101292	13345	76.690995
