response	sample_type	clone_cat	celltype	n_cell	n_cell_total	cell_proportion	response_stype
R	pre	Contracted clones in cytotoxic clusters	CD8_ANXA1	140	9802	0.014282799428688023	R-pre
R	pre	Contracted clones in cytotoxic clusters	CD8_CCL5	685	9802	0.06988369720465211	R-pre
R	pre	Contracted clones in cytotoxic clusters	CD8_CX3CR1	9	9802	9.181799632728015e-4	R-pre
R	pre	Contracted clones in cytotoxic clusters	CD8_FOS	97	9802	0.009895939604162416	R-pre
R	pre	Contracted clones in cytotoxic clusters	CD8_GZMK	297	9802	0.03029993878800245	R-pre
R	pre	Contracted clones in cytotoxic clusters	CD8_KLRB1	479	9802	0.04886757804529688	R-pre
R	pre	Contracted clones in cytotoxic clusters	CD4_CXCL13	108	9802	0.011018159559273618	R-pre
R	pre	Contracted clones in cytotoxic clusters	CD8_CXCL13	5484	9802	0.5594776576208937	R-pre
R	pre	Contracted clones in cytotoxic clusters	CD8_TYMS	931	9802	0.09498061620077536	R-pre
R	pre	Contracted clones in cytotoxic clusters	T_MKI67	855	9802	0.08722709651091613	R-pre
R	pre	Contracted clones in cytotoxic clusters	Treg_TNFRSF4	6	9802	6.12119975515201e-4	R-pre
R	pre	Contracted clones in cytotoxic clusters	T_Mito	143	9802	0.014588859416445624	R-pre
R	pre	Contracted clones in cytotoxic clusters	CD4_KLRB1	128	9802	0.013058559477657621	R-pre
R	pre	Contracted clones in cytotoxic clusters	CD8_CD74	152	9802	0.015507039379718425	R-pre
R	pre	Contracted clones in cytotoxic clusters	CD8_IFIT1	186	9802	0.01897571924097123	R-pre
R	pre	Contracted clones in cytotoxic clusters	T_Ribo	102	9802	0.010406039583758417	R-pre
R	post	Contracted clones in cytotoxic clusters	CD8_ANXA1	21	496	0.04233870967741935	R-post
R	post	Contracted clones in cytotoxic clusters	CD8_CCL5	52	496	0.10483870967741936	R-post
R	post	Contracted clones in cytotoxic clusters	CD8_CX3CR1	1	496	0.0020161290322580645	R-post
R	post	Contracted clones in cytotoxic clusters	CD8_FOS	28	496	0.056451612903225805	R-post
R	post	Contracted clones in cytotoxic clusters	CD8_GZMK	48	496	0.0967741935483871	R-post
R	post	Contracted clones in cytotoxic clusters	CD8_KLRB1	10	496	0.020161290322580645	R-post
R	post	Contracted clones in cytotoxic clusters	CD4_CXCL13	1	496	0.0020161290322580645	R-post
R	post	Contracted clones in cytotoxic clusters	CD8_CXCL13	258	496	0.5201612903225806	R-post
R	post	Contracted clones in cytotoxic clusters	CD8_TYMS	2	496	0.004032258064516129	R-post
R	post	Contracted clones in cytotoxic clusters	T_MKI67	5	496	0.010080645161290322	R-post
