ID	tumor	metric	value
337	OVA	CX3CR1_OT1_over_OT1	0.247693399574166
340	OVA	CX3CR1_OT1_over_OT1	0.236662106703146
336	OVA	CX3CR1_OT1_over_OT1	0.242627345844504
338	OVA	CX3CR1_OT1_over_OT1	0.199146514935989
972	WT	CX3CR1_OT1_over_OT1	0.14828431372549
973	WT	CX3CR1_OT1_over_OT1	0.0958904109589041
332	WT	CX3CR1_OT1_over_OT1	0.194510739856802
334	WT	CX3CR1_OT1_over_OT1	0.136690647482014
337	OVA	CX3CR1_OT1_over_CX3CR1	0.260642270351008
340	OVA	CX3CR1_OT1_over_CX3CR1	0.735544217687075
336	OVA	CX3CR1_OT1_over_CX3CR1	0.746699669966997
338	OVA	CX3CR1_OT1_over_CX3CR1	0.6859382655561
972	WT	CX3CR1_OT1_over_CX3CR1	0.13355408388521
973	WT	CX3CR1_OT1_over_CX3CR1	0.0424814565070802
332	WT	CX3CR1_OT1_over_CX3CR1	0.0856542301629007
334	WT	CX3CR1_OT1_over_CX3CR1	0.118667591950035
337	OVA	CX3CR1_over_CD8	0.2678
340	OVA	CX3CR1_over_CD8	0.2352
336	OVA	CX3CR1_over_CD8	0.2424
338	OVA	CX3CR1_over_CD8	0.2041
972	WT	CX3CR1_over_CD8	0.1812
973	WT	CX3CR1_over_CD8	0.1483
332	WT	CX3CR1_over_CD8	0.1903
334	WT	CX3CR1_over_CD8	0.1441
337	OVA	OT1_over_CD8	0.2818
340	OVA	OT1_over_CD8	0.731
336	OVA	OT1_over_CD8	0.746
338	OVA	OT1_over_CD8	0.703
972	WT	OT1_over_CD8	0.1632
973	WT	OT1_over_CD8	0.0657
332	WT	OT1_over_CD8	0.0838
334	WT	OT1_over_CD8	0.1251
337	OVA	CX3CR1_OT1_over_CD8	0.0698
340	OVA	CX3CR1_OT1_over_CD8	0.173
336	OVA	CX3CR1_OT1_over_CD8	0.181
338	OVA	CX3CR1_OT1_over_CD8	0.14
972	WT	CX3CR1_OT1_over_CD8	0.0242
973	WT	CX3CR1_OT1_over_CD8	0.0063
332	WT	CX3CR1_OT1_over_CD8	0.0163
334	WT	CX3CR1_OT1_over_CD8	0.0171
