edge_type,from,to,weight,start_cyto,start_exhau,end_cyto,end_exhau
CD4_KLRB1->T_Mito,CD4_KLRB1,T_Mito,0.0114296801459041,0.0035640908930661,-0.17075183422928836,0.18471069273661125,-0.07486414163307066
CD4_KLRB1->T_Ribo,CD4_KLRB1,T_Ribo,0.01196555647559677,0.0035640908930661,-0.17075183422928836,0.23379748203423675,-0.1925387180772601
CD8_ANXA1->CD8_CCL5,CD8_ANXA1,CD8_CCL5,0.03483068237287575,0.44921694034885007,-0.2841561774317659,0.8427294084095255,-0.08285967262375184
CD8_ANXA1->CD8_CXCL13,CD8_ANXA1,CD8_CXCL13,0.02328902866382059,0.44921694034885007,-0.2841561774317659,0.7809440965002276,0.5103815243038091
CD8_ANXA1->CD8_FOS,CD8_ANXA1,CD8_FOS,0.02782412485928239,0.44921694034885007,-0.2841561774317659,0.3481401270001603,-0.2930697342203742
CD8_ANXA1->CD8_GZMK,CD8_ANXA1,CD8_GZMK,0.01481410645710986,0.44921694034885007,-0.2841561774317659,0.654850977444354,-0.2657534061837355
CD8_ANXA1->T_Mito,CD8_ANXA1,T_Mito,0.01885717012968498,0.44921694034885007,-0.2841561774317659,0.18471069273661125,-0.07486414163307066
CD8_ANXA1->T_Ribo,CD8_ANXA1,T_Ribo,0.01352372502305313,0.44921694034885007,-0.2841561774317659,0.23379748203423675,-0.1925387180772601
CD8_CCL5->CD8_CX3CR1,CD8_CCL5,CD8_CX3CR1,0.01006174664079342,0.8427294084095255,-0.08285967262375184,0.9902034125668278,-0.3559573778319592
CD8_CCL5->CD8_CXCL13,CD8_CCL5,CD8_CXCL13,0.03370517164460619,0.8427294084095255,-0.08285967262375184,0.7809440965002276,0.5103815243038091
CD8_CCL5->CD8_FOS,CD8_CCL5,CD8_FOS,0.02553214014313064,0.8427294084095255,-0.08285967262375184,0.3481401270001603,-0.2930697342203742
CD8_CCL5->CD8_GZMK,CD8_CCL5,CD8_GZMK,0.05122542256136964,0.8427294084095255,-0.08285967262375184,0.654850977444354,-0.2657534061837355
CD8_CCL5->T_Mito,CD8_CCL5,T_Mito,0.02069950949372043,0.8427294084095255,-0.08285967262375184,0.18471069273661125,-0.07486414163307066
CD8_CCL5->T_Ribo,CD8_CCL5,T_Ribo,0.01541214809472659,0.8427294084095255,-0.08285967262375184,0.23379748203423675,-0.1925387180772601
CD8_CXCL13->CD8_GZMK,CD8_CXCL13,CD8_GZMK,0.01505242470573067,0.7809440965002276,0.5103815243038091,0.654850977444354,-0.2657534061837355
CD8_CXCL13->T_Mito,CD8_CXCL13,T_Mito,0.01817261009108778,0.7809440965002276,0.5103815243038091,0.18471069273661125,-0.07486414163307066
CD8_CXCL13->T_Ribo,CD8_CXCL13,T_Ribo,0.01391844768880482,0.7809440965002276,0.5103815243038091,0.23379748203423675,-0.1925387180772601
CD8_FOS->CD8_GZMK,CD8_FOS,CD8_GZMK,0.06532436532779032,0.3481401270001603,-0.2930697342203742,0.654850977444354,-0.2657534061837355
CD8_FOS->T_Mito,CD8_FOS,T_Mito,0.02422493914281883,0.3481401270001603,-0.2930697342203742,0.18471069273661125,-0.07486414163307066
CD8_FOS->T_Ribo,CD8_FOS,T_Ribo,0.018827107954922,0.3481401270001603,-0.2930697342203742,0.23379748203423675,-0.1925387180772601
CD8_GZMK->T_Mito,CD8_GZMK,T_Mito,0.02467537052665377,0.654850977444354,-0.2657534061837355,0.18471069273661125,-0.07486414163307066
CD8_GZMK->T_Ribo,CD8_GZMK,T_Ribo,0.01796697875130853,0.654850977444354,-0.2657534061837355,0.23379748203423675,-0.1925387180772601
T_Mito->T_Ribo,T_Mito,T_Ribo,0.01133990408066382,0.18471069273661125,-0.07486414163307066,0.23379748203423675,-0.1925387180772601
Treg_LTB->Treg_TNFRSF4,Treg_LTB,Treg_TNFRSF4,0.01400977968600919,-0.2105662278285708,-0.2303522400175631,-0.16880027758080782,0.04258621822487454
