edge_type,from,to,weight,start_cyto,start_exhau,end_cyto,end_exhau
CD4_CXCL13->CD4_KLRB1,CD4_CXCL13,CD4_KLRB1,0.04677911634573149,-0.16107968653210555,0.06118390525269737,0.0035640908930661,-0.17075183422928836
CD4_CXCL13->CD8_TYMS,CD4_CXCL13,CD8_TYMS,0.01388485483251176,-0.16107968653210555,0.06118390525269737,0.508437609318502,0.26732562597304077
CD4_CXCL13->T_MKI67,CD4_CXCL13,T_MKI67,0.01208004890212077,-0.16107968653210555,0.06118390525269737,0.3221173238475757,0.1120220195887803
CD4_KLRB1->CD8_TYMS,CD4_KLRB1,CD8_TYMS,0.01134849881871509,0.0035640908930661,-0.17075183422928836,0.508437609318502,0.26732562597304077
CD4_KLRB1->T_Ribo,CD4_KLRB1,T_Ribo,0.01088631893880261,0.0035640908930661,-0.17075183422928836,0.23379748203423675,-0.1925387180772601
CD8_ANXA1->CD8_CCL5,CD8_ANXA1,CD8_CCL5,0.03363084443989594,0.44921694034885007,-0.2841561774317659,0.8427294084095255,-0.08285967262375184
CD8_ANXA1->CD8_CXCL13,CD8_ANXA1,CD8_CXCL13,0.02075641987279606,0.44921694034885007,-0.2841561774317659,0.7809440965002276,0.5103815243038091
CD8_ANXA1->CD8_FOS,CD8_ANXA1,CD8_FOS,0.02028147610923424,0.44921694034885007,-0.2841561774317659,0.3481401270001603,-0.2930697342203742
CD8_ANXA1->CD8_GZMK,CD8_ANXA1,CD8_GZMK,0.01474882284899799,0.44921694034885007,-0.2841561774317659,0.654850977444354,-0.2657534061837355
CD8_ANXA1->CD8_TYMS,CD8_ANXA1,CD8_TYMS,0.01108962019804432,0.44921694034885007,-0.2841561774317659,0.508437609318502,0.26732562597304077
CD8_ANXA1->T_Mito,CD8_ANXA1,T_Mito,0.01723743531343556,0.44921694034885007,-0.2841561774317659,0.18471069273661125,-0.07486414163307066
CD8_ANXA1->T_Ribo,CD8_ANXA1,T_Ribo,0.01487526348598631,0.44921694034885007,-0.2841561774317659,0.23379748203423675,-0.1925387180772601
CD8_CCL5->CD8_CXCL13,CD8_CCL5,CD8_CXCL13,0.06691457122847602,0.8427294084095255,-0.08285967262375184,0.7809440965002276,0.5103815243038091
CD8_CCL5->CD8_FOS,CD8_CCL5,CD8_FOS,0.02034508702533406,0.8427294084095255,-0.08285967262375184,0.3481401270001603,-0.2930697342203742
CD8_CCL5->CD8_GZMK,CD8_CCL5,CD8_GZMK,0.03639920610645939,0.8427294084095255,-0.08285967262375184,0.654850977444354,-0.2657534061837355
CD8_CCL5->CD8_IFIT1,CD8_CCL5,CD8_IFIT1,0.01414998456337661,0.8427294084095255,-0.08285967262375184,0.4444235689085628,-0.10561343311326596
CD8_CCL5->CD8_TYMS,CD8_CCL5,CD8_TYMS,0.03100084535797374,0.8427294084095255,-0.08285967262375184,0.508437609318502,0.26732562597304077
CD8_CCL5->T_Mito,CD8_CCL5,T_Mito,0.02422779351149335,0.8427294084095255,-0.08285967262375184,0.18471069273661125,-0.07486414163307066
CD8_CCL5->T_MKI67,CD8_CCL5,T_MKI67,0.02832245445615887,0.8427294084095255,-0.08285967262375184,0.3221173238475757,0.1120220195887803
CD8_CCL5->T_Ribo,CD8_CCL5,T_Ribo,0.02059546562393634,0.8427294084095255,-0.08285967262375184,0.23379748203423675,-0.1925387180772601
CD8_CX3CR1->CD8_FOS,CD8_CX3CR1,CD8_FOS,0.01018654993647615,0.9902034125668278,-0.3559573778319592,0.3481401270001603,-0.2930697342203742
CD8_CXCL13->CD8_FOS,CD8_CXCL13,CD8_FOS,0.01256884542425479,0.7809440965002276,0.5103815243038091,0.3481401270001603,-0.2930697342203742
CD8_CXCL13->CD8_GZMK,CD8_CXCL13,CD8_GZMK,0.01757286349051531,0.7809440965002276,0.5103815243038091,0.654850977444354,-0.2657534061837355
CD8_CXCL13->CD8_IFIT1,CD8_CXCL13,CD8_IFIT1,0.01157728963368302,0.7809440965002276,0.5103815243038091,0.4444235689085628,-0.10561343311326596
CD8_CXCL13->CD8_TYMS,CD8_CXCL13,CD8_TYMS,0.0750082080666187,0.7809440965002276,0.5103815243038091,0.508437609318502,0.26732562597304077
CD8_CXCL13->T_Mito,CD8_CXCL13,T_Mito,0.0302134521540978,0.7809440965002276,0.5103815243038091,0.18471069273661125,-0.07486414163307066
CD8_CXCL13->T_MKI67,CD8_CXCL13,T_MKI67,0.05518155714669363,0.7809440965002276,0.5103815243038091,0.3221173238475757,0.1120220195887803
CD8_CXCL13->T_Ribo,CD8_CXCL13,T_Ribo,0.01855474872820273,0.7809440965002276,0.5103815243038091,0.23379748203423675,-0.1925387180772601
CD8_FOS->CD8_GZMK,CD8_FOS,CD8_GZMK,0.07216655414022526,0.3481401270001603,-0.2930697342203742,0.654850977444354,-0.2657534061837355
CD8_FOS->CD8_IFIT1,CD8_FOS,CD8_IFIT1,0.01012067272072451,0.3481401270001603,-0.2930697342203742,0.4444235689085628,-0.10561343311326596
CD8_FOS->T_Mito,CD8_FOS,T_Mito,0.0167374753879193,0.3481401270001603,-0.2930697342203742,0.18471069273661125,-0.07486414163307066
CD8_FOS->T_Ribo,CD8_FOS,T_Ribo,0.0125965885111727,0.3481401270001603,-0.2930697342203742,0.23379748203423675,-0.1925387180772601
CD8_GZMK->CD8_IFIT1,CD8_GZMK,CD8_IFIT1,0.01612737658022248,0.654850977444354,-0.2657534061837355,0.4444235689085628,-0.10561343311326596
CD8_GZMK->T_Mito,CD8_GZMK,T_Mito,0.02147428604152583,0.654850977444354,-0.2657534061837355,0.18471069273661125,-0.07486414163307066
CD8_GZMK->T_MKI67,CD8_GZMK,T_MKI67,0.01069760163174687,0.654850977444354,-0.2657534061837355,0.3221173238475757,0.1120220195887803
CD8_GZMK->T_Ribo,CD8_GZMK,T_Ribo,0.0183895355325477,0.654850977444354,-0.2657534061837355,0.23379748203423675,-0.1925387180772601
CD8_IFIT1->CD8_TYMS,CD8_IFIT1,CD8_TYMS,0.01021296084077855,0.4444235689085628,-0.10561343311326596,0.508437609318502,0.26732562597304077
CD8_IFIT1->T_MKI67,CD8_IFIT1,T_MKI67,0.01003815361550912,0.4444235689085628,-0.10561343311326596,0.3221173238475757,0.1120220195887803
CD8_TYMS->T_Mito,CD8_TYMS,T_Mito,0.01791364737367181,0.508437609318502,0.26732562597304077,0.18471069273661125,-0.07486414163307066
CD8_TYMS->T_MKI67,CD8_TYMS,T_MKI67,0.0400478549075184,0.508437609318502,0.26732562597304077,0.3221173238475757,0.1120220195887803
CD8_TYMS->T_Ribo,CD8_TYMS,T_Ribo,0.01204668215949419,0.508437609318502,0.26732562597304077,0.23379748203423675,-0.1925387180772601
T_Mito->T_MKI67,T_Mito,T_MKI67,0.0151461739809976,0.18471069273661125,-0.07486414163307066,0.3221173238475757,0.1120220195887803
T_Mito->T_Ribo,T_Mito,T_Ribo,0.01619367413854889,0.18471069273661125,-0.07486414163307066,0.23379748203423675,-0.1925387180772601
T_MKI67->T_Ribo,T_MKI67,T_Ribo,0.01081574871485564,0.3221173238475757,0.1120220195887803,0.23379748203423675,-0.1925387180772601
Treg_LTB->Treg_TNFRSF4,Treg_LTB,Treg_TNFRSF4,0.03486553833025719,-0.2105662278285708,-0.2303522400175631,-0.16880027758080782,0.04258621822487454
