sample	sig_cat	prop
01-006-T	SBS5	0.9652806273261977
01-006-T	SBS6	5.541469257897309e-11
01-006-T	SBS25	3.807463751220499e-9
01-006-T	SBS2/13	0.03471936881092398
01-008-T	SBS2/13	0.37999929095725377
01-008-T	SBS6	0.20496673554938077
01-008-T	SBS25	0.02850410005464675
01-008-T	SBS5	0.3865298734387188
01-009-T	SBS2/13	0.07453176587608307
01-009-T	SBS6	0.3753950236816299
01-009-T	SBS5	0.07636236833491318
01-009-T	SBS25	0.47371084210737385
01-010-T	SBS5	3.0289296304284783e-14
01-010-T	SBS2/13	2.019286420285652e-14
01-010-T	SBS25	0.9999999999999292
01-010-T	SBS6	2.019286420285652e-14
01-011-T	SBS5	0.40736058892373755
01-011-T	SBS6	0.3010271602784629
01-011-T	SBS25	0.04752495403430522
01-011-T	SBS2/13	0.24408729676349422
01-012-T	SBS6	0.45967987400200616
01-012-T	SBS25	8.774111258049819e-15
01-012-T	SBS2/13	0.12360163892926632
01-012-T	SBS5	0.4167184870687187
01-013-T	SBS5	0.3494745812831481
01-013-T	SBS2/13	0.058775305021483044
01-013-T	SBS6	0.5565314980411025
01-013-T	SBS25	0.03521861565426638
01-014-T	SBS2/13	0.14943409932571902
01-014-T	SBS5	0.14973253547675283
01-014-T	SBS25	0.09454787298500514
01-014-T	SBS6	0.6062854922125229
01-015-T	SBS5	0.03184735285919878
01-015-T	SBS6	0.729668987798594
01-015-T	SBS2/13	0.15832130255129778
01-015-T	SBS25	0.08016235679090936
01-016-T	SBS5	0.3763908373945876
01-016-T	SBS6	0.2992789314865447
01-016-T	SBS25	0.01771288789328356
01-016-T	SBS2/13	0.3066173432255841
01-017-T	SBS25	0.14493069018902802
01-017-T	SBS2/13	0.2766517745619386
01-017-T	SBS6	0.081660291621023
01-017-T	SBS5	0.49675724362801044
01-018-T	SBS6	0.02650026622332108
01-018-T	SBS5	0.5446184728690323
01-018-T	SBS2/13	0.24061444844061852
01-018-T	SBS25	0.18826681246702803
01-021-T	SBS2/13	0.2077936940227039
01-021-T	SBS25	0.05622397027575223
01-021-T	SBS5	0.2361221576296151
01-021-T	SBS6	0.4998601780719288
01-022-T	SBS6	0.14848643756795626
01-022-T	SBS5	0.1915316760432524
01-022-T	SBS2/13	7.007046939440806e-12
01-022-T	SBS25	0.6599818863817842
01-028-T	SBS5	0.2976723425714913
01-028-T	SBS6	0.13515920912784407
01-028-T	SBS2/13	0.070891217078522
01-028-T	SBS25	0.4962772312221427
01-030-T	SBS2/13	0.38151383844858333
01-030-T	SBS6	0.07911296830434716
01-030-T	SBS25	0.10143025297397552
01-030-T	SBS5	0.43794294027309394
01-032-T	SBS6	0.17489779404505057
01-032-T	SBS5	1.0105439335720753e-14
01-032-T	SBS25	0.04435724307405472
01-032-T	SBS2/13	0.7807449628808847
01-033-T	SBS6	0.3865528344765015
01-033-T	SBS5	0.3137028477525534
