cell_type	malig	non_malig	epi_major
Epi_A_IL1R2	40.04540691582256	59.95459308417744	Epi_Normal
Epi_A_MGP	31.933115823817293	68.06688417618271	Epi_Normal
Epi_B_Mix	67.74193548387096	32.25806451612903	Mixture
Epi_M_ACTL8	93.31210191082802	6.687898089171974	Tumor_Gp2
Epi_M_CALML3	96.4311624532619	3.568837546738099	Tumor_Gp1
Epi_M_CPS1	98.58716785482825	1.4128321451717434	Tumor_Gp2
Epi_M_MYBPC1	92.83435582822086	7.1656441717791415	Tumor_Gp2
Epi_M_PKP2	97.59036144578313	2.4096385542168677	Tumor_Gp2
Epi_M_RNASE1	93.94997091332169	6.050029086678301	Tumor_Gp2
Epi_M_SPRR3	81.72888015717092	18.271119842829076	Tumor_Gp2
Epi_N_LTF	0	100	Epi_Normal
Epi_N_PIGR	13.19679054054054	86.80320945945945	Epi_Normal
Epi_T_Mix	50.24052065647991	49.75947934352009	Mixture
