cell_label	.y.	group1	group2	n1	n2	statistic	p	method	.y_max	.y_min	.y_span	.comparison_index	y.position	xmin	xmax	p.adj	p.adj.label	p.adjust.method	alternative	paired
Epi_Normal: Epi_A_IL1R2	pct	R-pre	R-post	22	19	113	0.012318123142717567	Wilcoxon rank-sum test	87.09677419354838	0	87.09677419354838	1	94.06451612903226	1	2	0.04927249257087027	4.93e-02	BH	two.sided	FALSE
Epi_Normal: Epi_A_IL1R2	pct	NR-pre	NR-post	16	13	109.5	0.8257031190714456	Wilcoxon rank-sum test	87.09677419354838	0	87.09677419354838	2	104.51612903225806	3	4	0.8257031190714456	8.26e-01	BH	two.sided	FALSE
Epi_Normal: Epi_A_IL1R2	pct	R-pre	NR-pre	22	16	157	0.5836613824994976	Wilcoxon rank-sum test	87.09677419354838	0	87.09677419354838	3	114.96774193548387	1	3	0.7782151766659968	7.78e-01	BH	two.sided	FALSE
Epi_Normal: Epi_A_IL1R2	pct	R-post	NR-post	19	13	162	0.14276316246293203	Wilcoxon rank-sum test	87.09677419354838	0	87.09677419354838	4	125.41935483870967	2	4	0.28552632492586405	2.86e-01	BH	two.sided	FALSE
Epi_Normal: Epi_A_MGP	pct	R-pre	R-post	22	19	52	4.09972756094626e-5	Wilcoxon rank-sum test	100	0	100	1	108	1	2	1.639891024378504e-4	1.64e-04	BH	two.sided	FALSE
Epi_Normal: Epi_A_MGP	pct	NR-pre	NR-post	16	13	56	0.03715655903002275	Wilcoxon rank-sum test	100	0	100	2	120	3	4	0.0743131180600455	7.43e-02	BH	two.sided	FALSE
Epi_Normal: Epi_A_MGP	pct	R-pre	NR-pre	22	16	133	0.2075227944561049	Wilcoxon rank-sum test	100	0	100	3	132	1	3	0.2075227944561049	2.08e-01	BH	two.sided	FALSE
Epi_Normal: Epi_A_MGP	pct	R-post	NR-post	19	13	161	0.15540099422387868	Wilcoxon rank-sum test	100	0	100	4	144	2	4	0.20720132563183824	2.07e-01	BH	two.sided	FALSE
Epi_Normal: Epi_N_LTF	pct	R-pre	R-post	22	19	218.5	0.3786379026593537	Wilcoxon rank-sum test	3.4386617100371746	0	3.4386617100371746	1	3.7137546468401483	1	2	0.6080708346884135	6.08e-01	BH	two.sided	FALSE
Epi_Normal: Epi_N_LTF	pct	NR-pre	NR-post	16	13	110.5	0.40538055645894233	Wilcoxon rank-sum test	3.4386617100371746	0	3.4386617100371746	2	4.12639405204461	3	4	0.6080708346884135	6.08e-01	BH	two.sided	FALSE
Epi_Normal: Epi_N_LTF	pct	R-pre	NR-pre	22	16	173.5	0.8785722994856853	Wilcoxon rank-sum test	3.4386617100371746	0	3.4386617100371746	3	4.5390334572490705	1	3	0.8785722994856853	8.79e-01	BH	two.sided	FALSE
Epi_Normal: Epi_N_LTF	pct	R-post	NR-post	19	13	123.5	NA	Wilcoxon rank-sum test	3.4386617100371746	0	3.4386617100371746	4	4.951672862453531	2	4	NA	NaN	BH	two.sided	FALSE
Epi_Normal: Epi_N_PIGR	pct	R-pre	R-post	22	19	136	0.05309067196439684	Wilcoxon rank-sum test	89.36309914642153	0	89.36309914642153	1	96.51214707813526	1	2	0.21215711359751677	2.12e-01	BH	two.sided	FALSE
Epi_Normal: Epi_N_PIGR	pct	NR-pre	NR-post	16	13	114	0.6683815545810423	Wilcoxon rank-sum test	89.36309914642153	0	89.36309914642153	2	107.23571897570584	3	4	0.8681968409711052	8.68e-01	BH	two.sided	FALSE
Epi_Normal: Epi_N_PIGR	pct	R-pre	NR-pre	22	16	170	0.8681968409711052	Wilcoxon rank-sum test	89.36309914642153	0	89.36309914642153	3	117.95929087327642	1	3	0.8681968409711052	8.68e-01	BH	two.sided	FALSE
Epi_Normal: Epi_N_PIGR	pct	R-post	NR-post	19	13	165	0.10607855679875838	Wilcoxon rank-sum test	89.36309914642153	0	89.36309914642153	4	128.682862770847	2	4	0.21215711359751677	2.12e-01	BH	two.sided	FALSE
Mixture: Epi_B_Mix	pct	R-pre	R-post	22	19	237.5	0.10499915578343237	Wilcoxon rank-sum test	19.458896982310097	0	19.458896982310097	1	21.015608740894905	1	2	0.17258788057366053	1.73e-01	BH	two.sided	FALSE
Mixture: Epi_B_Mix	pct	NR-pre	NR-post	16	13	123.5	0.11505858704910703	Wilcoxon rank-sum test	19.458896982310097	0	19.458896982310097	2	23.350676378772118	3	4	0.17258788057366053	1.73e-01	BH	two.sided	FALSE
Mixture: Epi_B_Mix	pct	R-pre	NR-pre	22	16	166.5	0.6751005117009402	Wilcoxon rank-sum test	19.458896982310097	0	19.458896982310097	3	25.68574401664933	1	3	0.6751005117009402	6.75e-01	BH	two.sided	FALSE
Mixture: Epi_B_Mix	pct	R-post	NR-post	19	13	123.5	NA	Wilcoxon rank-sum test	19.458896982310097	0	19.458896982310097	4	28.02081165452654	2	4	NA	NaN	BH	two.sided	FALSE
Mixture: Epi_T_Mix	pct	R-pre	R-post	22	19	348	2.932962871619667e-4	Wilcoxon rank-sum test	100	0	100	1	108	1	2	0.0011731851486478668	1.17e-03	BH	two.sided	FALSE
Mixture: Epi_T_Mix	pct	NR-pre	NR-post	16	13	148.5	0.05363592320545965	Wilcoxon rank-sum test	100	0	100	2	120	3	4	0.1072718464109193	1.07e-01	BH	two.sided	FALSE
Mixture: Epi_T_Mix	pct	R-pre	NR-pre	22	16	183	0.8476039306063197	Wilcoxon rank-sum test	100	0	100	3	132	1	3	0.8476039306063197	8.48e-01	BH	two.sided	FALSE
