response	sample_type	source	target	n_interaction	prob_mean	prob_med
NR	post	B & Plasma	B & Plasma	8	0.040267266714692294	0.024218839354512602
NR	post	B & Plasma	Endothelial	11	0.01775912946511544	0.011470483681673319
NR	post	B & Plasma	Fibroblast	14	0.013930383941498658	0.005101938718182739
NR	post	B & Plasma	Myeloid	28	0.021286452131258387	0.013353749619667139
NR	post	B & Plasma	T cells	20	0.05036861773167045	0.04354816562232843
NR	post	B & Plasma	Tumor_Gp1	5	0.023482538184084405	0.008534240366269768
NR	post	B & Plasma	Tumor_Gp2	1	0.07460751523410995	0.07460751523410995
NR	post	Endothelial	B & Plasma	31	0.03280140658159493	0.01220719274656437
NR	post	Endothelial	Endothelial	71	0.020167185108465928	0.009380753536132833
NR	post	Endothelial	Fibroblast	76	0.013263744455444858	0.006511203407519603
NR	post	Endothelial	Myeloid	66	0.023683798296528547	0.010534943783255181
NR	post	Endothelial	T cells	43	0.043477964393491435	0.022279327863665193
NR	post	Endothelial	Tumor_Gp1	114	0.017523683441850194	0.009337768452694522
NR	post	Endothelial	Tumor_Gp2	12	0.032473445751274053	0.031976383350082134
NR	post	Fibroblast	B & Plasma	49	0.035787785448788384	0.017824089489017838
NR	post	Fibroblast	Endothelial	85	0.020204341833724195	0.010531668873989508
NR	post	Fibroblast	Fibroblast	98	0.021791163952791143	0.010527563632155647
NR	post	Fibroblast	Myeloid	87	0.029294225667385498	0.010213748941305402
NR	post	Fibroblast	T cells	54	0.0479962022857702	0.03256393323864055
NR	post	Fibroblast	Tumor_Gp1	157	0.03274310531299032	0.018487698116288184
NR	post	Fibroblast	Tumor_Gp2	37	0.037295427267463085	0.022379663942027034
NR	post	Myeloid	B & Plasma	19	0.023466059100958607	0.007571323744761508
NR	post	Myeloid	Endothelial	31	0.019141916438915007	0.010939021759474327
NR	post	Myeloid	Fibroblast	32	0.014461387763463458	0.0054040980060177666
NR	post	Myeloid	Myeloid	54	0.019649385926514724	0.011645511966440054
NR	post	Myeloid	T cells	39	0.034471800680714204	0.018158434467723594
NR	post	Myeloid	Tumor_Gp1	31	0.014281216858634854	0.011475025712479686
NR	post	Myeloid	Tumor_Gp2	3	0.041637535171401854	0.02576847974940417
NR	post	T cells	B & Plasma	9	0.04118488877958173	0.010216617781441876
NR	post	T cells	Endothelial	19	0.023064682027359718	0.005748964606541866
NR	post	T cells	Fibroblast	23	0.014603383538271302	0.005823918132562983
NR	post	T cells	Myeloid	30	0.020922571474498903	0.010619959439630882
NR	post	T cells	T cells	27	0.05020785663731428	0.03356026037251838
NR	post	T cells	Tumor_Gp1	18	0.014913910103498197	0.004297423957176086
NR	post	T cells	Tumor_Gp2	4	0.037938074685574606	0.026100343274796788
NR	post	Tumor_Gp1	B & Plasma	19	0.04442626115437701	0.015075659744878853
NR	post	Tumor_Gp1	Endothelial	70	0.014305610518430632	0.005004678512486505
NR	post	Tumor_Gp1	Fibroblast	71	0.010664893228780174	0.004671433158212478
NR	post	Tumor_Gp1	Myeloid	40	0.027440514326185945	0.009917666589041637
NR	post	Tumor_Gp1	T cells	41	0.03301010961258627	0.015656477132507205
NR	post	Tumor_Gp1	Tumor_Gp1	125	0.015127000672990195	0.007302659032047953
NR	post	Tumor_Gp2	B & Plasma	7	0.07006718891687017	0.04347180492881021
NR	post	Tumor_Gp2	Endothelial	13	0.03392628069244926	0.03137521659316344
NR	post	Tumor_Gp2	Fibroblast	12	0.02895970020224844	0.01435831088062318
NR	post	Tumor_Gp2	Myeloid	12	0.03678507547055348	0.014321825174269092
NR	post	Tumor_Gp2	T cells	17	0.054472926490838035	0.03358678326706458
NR	post	Tumor_Gp2	Tumor_Gp2	15	0.02427825203923826	0.011239264813747624
NR	pre	B & Plasma	B & Plasma	9	0.025917753903221152	0.008897991204206307
NR	pre	B & Plasma	Endothelial	13	0.012547464399922216	0.004381283444412553
NR	pre	B & Plasma	Fibroblast	13	0.01076601511782769	0.002764299831280854
NR	pre	B & Plasma	Myeloid	31	0.01376962313155015	0.005112055177713182
NR	pre	B & Plasma	T cells	25	0.03169403332958398	0.02326348563925147
NR	pre	B & Plasma	Tumor_Gp1	9	0.012624076695341428	0.0024648219713507965
NR	pre	Endothelial	B & Plasma	45	0.023525823460040528	0.00763498803635192
NR	pre	Endothelial	Endothelial	91	0.020639632773710205	0.011727387068017188
NR	pre	Endothelial	Fibroblast	86	0.01633854517498479	0.007822546112793765
NR	pre	Endothelial	Myeloid	64	0.027046761873847466	0.008933666877318515
NR	pre	Endothelial	T cells	51	0.038405742272776135	0.02237033392861543
NR	pre	Endothelial	Tumor_Gp1	125	0.017305917132699494	0.009660183770677781
NR	pre	Fibroblast	B & Plasma	52	0.029094805461768316	0.012623359474285903
NR	pre	Fibroblast	Endothelial	108	0.024186890580826754	0.014562849038723132
NR	pre	Fibroblast	Fibroblast	116	0.021877689961986007	0.008258745842813438
NR	pre	Fibroblast	Myeloid	73	0.0348405018253515	0.009831195665309102
NR	pre	Fibroblast	T cells	55	0.046466225120628916	0.026444814877172814
NR	pre	Fibroblast	Tumor_Gp1	152	0.02734159055172379	0.017984134699414657
NR	pre	Fibroblast	Tumor_Gp2	46	0.06432784961891944	0.05755552386398363
NR	pre	Myeloid	B & Plasma	19	0.011776845373587804	0.004336409318701428
NR	pre	Myeloid	Endothelial	31	0.01677075666679498	0.006220637206259936
NR	pre	Myeloid	Fibroblast	30	0.01057020706653693	0.003600371339244059
NR	pre	Myeloid	Myeloid	45	0.01732091047696167	0.00949248046295262
