source	target	weight.x	weight.y	weight.diff	weight	comp_type	weight_type
B & Plasma	B & Plasma	0.03863600687545477	0.04026726671469229	-0.0016312598392375158	0.0016312598392375158	Post-treatment: R vs NR	R < NR
B & Plasma	Endothelial	0.01732990898846096	0.01775912946511544	-4.2922047665448076e-4	4.2922047665448076e-4	Post-treatment: R vs NR	R < NR
B & Plasma	Fibroblast	0.01249945756146867	0.01393038394149865	-0.0014309263800299787	0.0014309263800299787	Post-treatment: R vs NR	R < NR
B & Plasma	Myeloid	0.01539155927110775	0.02128645213125838	-0.00589489286015063	0.00589489286015063	Post-treatment: R vs NR	R < NR
B & Plasma	T cells	0.03906163391385553	0.05036861773167045	-0.01130698381781492	0.01130698381781492	Post-treatment: R vs NR	R < NR
B & Plasma	Tumor_Gp1	0.01761294653255039	0.0234825381840844	-0.005869591651534011	0.005869591651534011	Post-treatment: R vs NR	R < NR
B & Plasma	Tumor_Gp2	0	0.07460751523410995	-0.07460751523410995	0.07460751523410995	Post-treatment: R vs NR	R < NR
Endothelial	B & Plasma	0.0207870008685843	0.03280140658159493	-0.012014405713010629	0.012014405713010629	Post-treatment: R vs NR	R < NR
Endothelial	Endothelial	0.02181701871190372	0.02016718510846592	0.0016498336034377996	0.0016498336034377996	Post-treatment: R vs NR	R > NR
Endothelial	Fibroblast	0.01176191922217541	0.01326374445544485	-0.0015018252332694403	0.0015018252332694403	Post-treatment: R vs NR	R < NR
Endothelial	Myeloid	0.02165464109202296	0.02368379829652854	-0.0020291572045055793	0.0020291572045055793	Post-treatment: R vs NR	R < NR
Endothelial	T cells	0.03798867314143416	0.04347796439349143	-0.005489291252057271	0.005489291252057271	Post-treatment: R vs NR	R < NR
Endothelial	Tumor_Gp1	0.0133204021412032	0.01752368344185019	-0.00420328130064699	0.00420328130064699	Post-treatment: R vs NR	R < NR
Endothelial	Tumor_Gp2	0.07567200824232513	0.032473445751274047	0.043198562491051085	0.043198562491051085	Post-treatment: R vs NR	R > NR
Fibroblast	B & Plasma	0.02750154288920322	0.03578778544878838	-0.008286242559585159	0.008286242559585159	Post-treatment: R vs NR	R < NR
Fibroblast	Endothelial	0.02071581046737185	0.02020434183372419	5.114686336476597e-4	5.114686336476597e-4	Post-treatment: R vs NR	R > NR
Fibroblast	Fibroblast	0.01709539785384756	0.02179116395279114	-0.0046957660989435795	0.0046957660989435795	Post-treatment: R vs NR	R < NR
Fibroblast	Myeloid	0.03399578120451949	0.02929422566738549	0.004701555537133997	0.004701555537133997	Post-treatment: R vs NR	R > NR
Fibroblast	T cells	0.04866734169819259	0.0479962022857702	6.711394124223891e-4	6.711394124223891e-4	Post-treatment: R vs NR	R > NR
Fibroblast	Tumor_Gp1	0.02571662919165675	0.03274310531299032	-0.007026476121333572	0.007026476121333572	Post-treatment: R vs NR	R < NR
Fibroblast	Tumor_Gp2	0.07501923321026645	0.03729542726746308	0.03772380594280337	0.03772380594280337	Post-treatment: R vs NR	R > NR
Myeloid	B & Plasma	0.01434331128818151	0.0234660591009586	-0.00912274781277709	0.00912274781277709	Post-treatment: R vs NR	R < NR
Myeloid	Endothelial	0.02443695612636337	0.019141916438915	0.0052950396874483704	0.0052950396874483704	Post-treatment: R vs NR	R > NR
Myeloid	Fibroblast	0.01375772655523329	0.01446138776346345	-7.036612082301601e-4	7.036612082301601e-4	Post-treatment: R vs NR	R < NR
Myeloid	Myeloid	0.01604618441123756	0.01964938592651472	-0.0036032015152771615	0.0036032015152771615	Post-treatment: R vs NR	R < NR
Myeloid	T cells	0.03045601902704203	0.0344718006807142	-0.004015781653672168	0.004015781653672168	Post-treatment: R vs NR	R < NR
Myeloid	Tumor_Gp1	0.0167921463080539	0.01428121685863485	0.002510929449419049	0.002510929449419049	Post-treatment: R vs NR	R > NR
Myeloid	Tumor_Gp2	0	0.04163753517140185	-0.04163753517140185	0.04163753517140185	Post-treatment: R vs NR	R < NR
