celltype	.y.	group1	group2	n1	n2	statistic	p	method	.y_max	.y_min	.y_span	.comparison_index	y.position	xmin	xmax	p.adj	p.adj.label	p.adjust.method	alternative	paired
B & Plasma	Virus-detected	R-pre	R-post	22	17	272	0.016701496460462165	Wilcoxon rank-sum test	40.19975031210986	4.411764705882353	35.78798560622751	1	43.06278916060806	1	2	0.03340299292092433	3.34e-02	BH	two.sided	FALSE
B & Plasma	Virus-detected	NR-pre	NR-post	16	13	150	0.046009407576215286	Wilcoxon rank-sum test	40.19975031210986	4.411764705882353	35.78798560622751	2	47.357347433355365	3	4	0.046009407576215286	4.60e-02	BH	two.sided	FALSE
Myeloid	Virus-detected	R-pre	R-post	22	19	313	0.0068111320035602945	Wilcoxon rank-sum test	46.97986577181208	5.215419501133787	41.76444627067829	1	50.321021473466345	1	2	0.013622264007120589	1.36e-02	BH	two.sided	FALSE
Myeloid	Virus-detected	NR-pre	NR-post	16	13	110	0.8094071206269623	Wilcoxon rank-sum test	46.97986577181208	5.215419501133787	41.76444627067829	2	55.33275502594774	3	4	0.8094071206269623	8.09e-01	BH	two.sided	FALSE
T cells	Virus-detected	R-pre	R-post	22	19	301	0.01674735018286407	Wilcoxon rank-sum test	25.66467715680955	1.9815059445178336	23.683171212291715	1	27.559330853792886	1	2	0.03349470036572814	3.35e-02	BH	two.sided	FALSE
T cells	Virus-detected	NR-pre	NR-post	16	13	133	0.2113698108315978	Wilcoxon rank-sum test	25.66467715680955	1.9815059445178336	23.683171212291715	2	30.401311399267893	3	4	0.2113698108315978	2.11e-01	BH	two.sided	FALSE
Endothelial	Virus-detected	R-pre	R-post	20	19	272	0.022024081396298932	Wilcoxon rank-sum test	43.39622641509434	5.825242718446602	37.57098369664774	1	46.401905110826156	1	2	0.044048162792597864	4.40e-02	BH	two.sided	FALSE
Endothelial	Virus-detected	NR-pre	NR-post	15	13	120	0.3108512029584282	Wilcoxon rank-sum test	43.39622641509434	5.825242718446602	37.57098369664774	2	50.91042315442389	3	4	0.3108512029584282	3.11e-01	BH	two.sided	FALSE
Epithelial	Virus-detected	R-pre	R-post	22	16	216	0.24287051031252374	Wilcoxon rank-sum test	64.8936170212766	17.85095320623917	47.04266381503743	1	68.6570301264796	1	2	0.4857410206250475	4.86e-01	BH	two.sided	FALSE
Epithelial	Virus-detected	NR-pre	NR-post	16	12	97	0.9814812325608941	Wilcoxon rank-sum test	64.8936170212766	17.85095320623917	47.04266381503743	2	74.30214978428408	3	4	0.9814812325608941	9.81e-01	BH	two.sided	FALSE
Fibroblast	Virus-detected	R-pre	R-post	20	19	285	0.007925651801406973	Wilcoxon rank-sum test	49.24012158054711	8.709677419354838	40.53044416119227	1	52.482557113442496	1	2	0.015851303602813945	1.59e-02	BH	two.sided	FALSE
Fibroblast	Virus-detected	NR-pre	NR-post	15	13	105	0.7471061995484956	Wilcoxon rank-sum test	49.24012158054711	8.709677419354838	40.53044416119227	2	57.34621041278557	3	4	0.7471061995484956	7.47e-01	BH	two.sided	FALSE
