cellgp	.y.	group1	group2	n1	n2	statistic	p	method	.y_max	.y_min	.y_span	.comparison_index	y.position	xmin	xmax	p.adj	p.adj.label	p.adjust.method	alternative	paired
cytotoxic CD8	logcpm	R-pre	R-post	22	19	301.5	0.016113771617334502	Wilcoxon rank-sum test	7.004770884994426	0	7.004770884994426	1	7.56515255579398	1	2	0.032227543234669004	3.22e-02	BH	two.sided	FALSE
cytotoxic CD8	logcpm	NR-pre	NR-post	16	13	62	0.06877493709463746	Wilcoxon rank-sum test	7.004770884994426	0	7.004770884994426	2	8.405725061993312	3	4	0.06877493709463746	6.88e-02	BH	two.sided	FALSE
exhausted CD8	logcpm	R-pre	R-post	22	12	173	0.1444224004431294	Wilcoxon rank-sum test	8.3640449233032	1.907175793869012	6.456869129434189	1	8.880594453657936	1	2	0.1444224004431294	1.44e-01	BH	two.sided	FALSE
exhausted CD8	logcpm	NR-pre	NR-post	16	12	42	0.013003437031519488	Wilcoxon rank-sum test	8.3640449233032	1.907175793869012	6.456869129434189	2	9.655418749190039	3	4	0.026006874063038976	2.60e-02	BH	two.sided	FALSE
other CD8	logcpm	R-pre	R-post	22	6	86	0.2749252412004772	Wilcoxon rank-sum test	7.685485671288001	0	7.685485671288001	1	8.30032452499104	1	2	0.2749252412004772	2.75e-01	BH	two.sided	FALSE
other CD8	logcpm	NR-pre	NR-post	14	8	18	0.010483382687805794	Wilcoxon rank-sum test	7.685485671288001	0	7.685485671288001	2	9.222582805545601	3	4	0.02096676537561159	2.10e-02	BH	two.sided	FALSE
Treg	logcpm	R-pre	R-post	22	12	163	0.2716687670179725	Wilcoxon rank-sum test	6.009885591442272	0	6.009885591442272	1	6.490676438757654	1	2	0.2716687670179725	2.72e-01	BH	two.sided	FALSE
Treg	logcpm	NR-pre	NR-post	16	12	68	0.2017239161641219	Wilcoxon rank-sum test	6.009885591442272	0	6.009885591442272	2	7.211862709730726	3	4	0.2716687670179725	2.72e-01	BH	two.sided	FALSE
NK	logcpm	R-pre	R-post	22	16	319	1.7110991233902993e-5	Wilcoxon rank-sum test	6.232022667488399	0	6.232022667488399	1	6.7305844808874715	1	2	3.4221982467805986e-5	3.42e-05	BH	two.sided	FALSE
NK	logcpm	NR-pre	NR-post	16	12	103.5	0.7423312388548593	Wilcoxon rank-sum test	6.232022667488399	0	6.232022667488399	2	7.478427200986079	3	4	0.7423312388548593	7.42e-01	BH	two.sided	FALSE
