cell_type	.y.	group1	group2	n1	n2	statistic	p	method	.y_max	.y_min	.y_span	.comparison_index	y.position	xmin	xmax	p.adj	p.adj.label	p.adjust.method	alternative	paired
CD8_FOS	pct	R-pre	R-post	22	19	32	3.940851814403469e-6	Wilcoxon rank-sum test	23.681936041486605	1.8494055482166447	21.83253049326996	1	25.428538480948202	1	2	7.881703628806937e-6	7.88e-06	BH	two.sided	FALSE
CD8_FOS	pct	NR-pre	NR-post	16	13	46	0.011684179076664497	Wilcoxon rank-sum test	23.681936041486605	1.8494055482166447	21.83253049326996	2	28.048442140140597	3	4	0.011684179076664497	1.17e-02	BH	two.sided	FALSE
CD8_CX3CR1	pct	R-pre	R-post	22	19	164	0.24465770210266596	Wilcoxon rank-sum test	9.31372549019608	0.3455083909180652	8.968217099278016	1	10.031182858138322	1	2	0.46932800472759645	4.69e-01	BH	two.sided	FALSE
CD8_CX3CR1	pct	NR-pre	NR-post	16	13	121	0.46932800472759645	Wilcoxon rank-sum test	9.31372549019608	0.3455083909180652	8.968217099278016	2	11.107368910051685	3	4	0.46932800472759645	4.69e-01	BH	two.sided	FALSE
CD8_KLRB1	pct	R-pre	R-post	22	19	257	0.21428947867143558	Wilcoxon rank-sum test	9.267861092678611	0	9.267861092678611	1	10.0092899800929	1	2	0.21428947867143558	2.14e-01	BH	two.sided	FALSE
CD8_KLRB1	pct	NR-pre	NR-post	16	13	155	0.02678949010208714	Wilcoxon rank-sum test	9.267861092678611	0	9.267861092678611	2	11.121433311214334	3	4	0.05357898020417428	5.36e-02	BH	two.sided	FALSE
Treg_LTB	pct	R-pre	R-post	22	19	331	0.001490440370823129	Wilcoxon rank-sum test	11.406682272824003	0.6265664160401002	10.780115856783903	1	12.269091541366716	1	2	0.002980880741646258	2.98e-03	BH	two.sided	FALSE
Treg_LTB	pct	NR-pre	NR-post	16	13	134	0.1957826877631825	Wilcoxon rank-sum test	11.406682272824003	0.6265664160401002	10.780115856783903	2	13.562705444180784	3	4	0.1957826877631825	1.96e-01	BH	two.sided	FALSE
Treg_TNFRSF4	pct	R-pre	R-post	22	19	395	1.236004823829215e-6	Wilcoxon rank-sum test	25.207100591715975	0	25.207100591715975	1	27.22366863905325	1	2	2.47200964765843e-6	2.47e-06	BH	two.sided	FALSE
Treg_TNFRSF4	pct	NR-pre	NR-post	16	13	151	0.041434072081130396	Wilcoxon rank-sum test	25.207100591715975	0	25.207100591715975	2	30.248520710059168	3	4	0.041434072081130396	4.14e-02	BH	two.sided	FALSE
T_Mito	pct	R-pre	R-post	22	19	29	2.693450879100147e-6	Wilcoxon rank-sum test	27.79291553133515	2.2070183182520413	25.585897213083108	1	29.8397873083818	1	2	5.386901758200294e-6	5.39e-06	BH	two.sided	FALSE
T_Mito	pct	NR-pre	NR-post	16	13	60	0.05644278097147529	Wilcoxon rank-sum test	27.79291553133515	2.2070183182520413	25.585897213083108	2	32.91009497395177	3	4	0.05644278097147529	5.64e-02	BH	two.sided	FALSE
