gene	.y.	group1	group2	n1	n2	statistic	p	method	.y_max	.y_min	.y_span	.comparison_index	y.position	xmin	xmax	p.adj	p.adj.label	p.adjust.method	alternative	paired
ACKR3	logcpm	R-pre	R-post	22	19	230	0.5859848860519502	Wilcoxon rank-sum test	1.9082416514012934	0	1.9082416514012934	1	2.060900983513397	1	2	0.5859848860519502	5.86e-01	BH	two.sided	FALSE
ACKR3	logcpm	NR-pre	NR-post	16	13	137	0.1512440038948504	Wilcoxon rank-sum test	1.9082416514012934	0	1.9082416514012934	2	2.289889981681552	3	4	0.3024880077897008	3.02e-01	BH	two.sided	FALSE
CCR2	logcpm	R-pre	R-post	22	19	174	0.3670674654178557	Wilcoxon rank-sum test	2.678527970963141	0.4421778010324632	2.236350169930678	1	2.857435984557595	1	2	0.7093347737164315	7.09e-01	BH	two.sided	FALSE
CCR2	logcpm	NR-pre	NR-post	16	13	95	0.7093347737164315	Wilcoxon rank-sum test	2.678527970963141	0.4421778010324632	2.236350169930678	2	3.1257980049492766	3	4	0.7093347737164315	7.09e-01	BH	two.sided	FALSE
CCR4	logcpm	R-pre	R-post	22	19	216	0.8650586834684142	Wilcoxon rank-sum test	4.016567542512475	0	4.016567542512475	1	4.337892945913473	1	2	0.8650586834684142	8.65e-01	BH	two.sided	FALSE
CCR4	logcpm	NR-pre	NR-post	16	13	122	0.44282841345843843	Wilcoxon rank-sum test	4.016567542512475	0	4.016567542512475	2	4.8198810510149706	3	4	0.8650586834684142	8.65e-01	BH	two.sided	FALSE
CCR5	logcpm	R-pre	R-post	22	19	370	2.7146884268462636e-5	Wilcoxon rank-sum test	4.513601190179836	2.451357190504075	2.062243999675761	1	4.678580710153897	1	2	5.429376853692527e-5	5.43e-05	BH	two.sided	FALSE
CCR5	logcpm	NR-pre	NR-post	16	13	146	0.06877493709463746	Wilcoxon rank-sum test	4.513601190179836	2.451357190504075	2.062243999675761	2	4.926049990114988	3	4	0.06877493709463746	6.88e-02	BH	two.sided	FALSE
CCR6	logcpm	R-pre	R-post	22	19	261	0.17816259594969236	Wilcoxon rank-sum test	4.805057233705763	0.731527519593897	4.073529714111866	1	5.130939610834712	1	2	0.17816259594969236	1.78e-01	BH	two.sided	FALSE
CCR6	logcpm	NR-pre	NR-post	16	13	137	0.15409382444616215	Wilcoxon rank-sum test	4.805057233705763	0.731527519593897	4.073529714111866	2	5.619763176528136	3	4	0.17816259594969236	1.78e-01	BH	two.sided	FALSE
CXCR1	logcpm	R-pre	R-post	22	19	180	0.4394654138373694	Wilcoxon rank-sum test	2.3127987354343817	0	2.3127987354343817	1	2.497822634269132	1	2	0.8789308276747388	8.79e-01	BH	two.sided	FALSE
CXCR1	logcpm	NR-pre	NR-post	16	13	105	0.9820125745531662	Wilcoxon rank-sum test	2.3127987354343817	0	2.3127987354343817	2	2.7753584825212583	3	4	0.9820125745531662	9.82e-01	BH	two.sided	FALSE
CXCR2	logcpm	R-pre	R-post	22	19	280	0.06389868035621848	Wilcoxon rank-sum test	2.9551873028666673	0	2.9551873028666673	1	3.191602287096001	1	2	0.12779736071243697	1.28e-01	BH	two.sided	FALSE
CXCR2	logcpm	NR-pre	NR-post	16	13	114.5	0.6606107654266755	Wilcoxon rank-sum test	2.9551873028666673	0	2.9551873028666673	2	3.5462247634400006	3	4	0.6606107654266755	6.61e-01	BH	two.sided	FALSE
CXCR3	logcpm	R-pre	R-post	22	19	355	1.423765574549236e-4	Wilcoxon rank-sum test	5.444271928806456	3.444965410725234	1.9993065180812222	1	5.604216450252954	1	2	2.847531149098472e-4	2.85e-04	BH	two.sided	FALSE
CXCR3	logcpm	NR-pre	NR-post	16	13	174	0.002305412339505395	Wilcoxon rank-sum test	5.444271928806456	3.444965410725234	1.9993065180812222	2	5.844133232422701	3	4	0.002305412339505395	2.31e-03	BH	two.sided	FALSE
