gene	.y.	group1	group2	n1	n2	statistic	p	method	.y_max	.y_min	.y_span	.comparison_index	y.position	xmin	xmax	p.adj	p.adj.label	p.adjust.method	alternative	paired
ACKR3	logcpm	R-pre	R-post	22	12	187	0.04327481325161558	Wilcoxon rank-sum test	2.9276166437423408	0	2.9276166437423408	1	3.161825975241728	1	2	0.08654962650323116	8.65e-02	BH	two.sided	FALSE
ACKR3	logcpm	NR-pre	NR-post	16	12	111	0.49367286253319886	Wilcoxon rank-sum test	2.9276166437423408	0	2.9276166437423408	2	3.513139972490809	3	4	0.49367286253319886	4.94e-01	BH	two.sided	FALSE
CCR2	logcpm	R-pre	R-post	22	12	116.5	0.5863966900759539	Wilcoxon rank-sum test	2.9015386625375594	0	2.9015386625375594	1	3.1336617555405644	1	2	0.5863966900759539	5.86e-01	BH	two.sided	FALSE
CCR2	logcpm	NR-pre	NR-post	16	12	114.5	0.3978859856419016	Wilcoxon rank-sum test	2.9015386625375594	0	2.9015386625375594	2	3.4818463950450713	3	4	0.5863966900759539	5.86e-01	BH	two.sided	FALSE
CCR4	logcpm	R-pre	R-post	22	12	213	0.003719517641997314	Wilcoxon rank-sum test	4.111849395356015	0	4.111849395356015	1	4.440797346984496	1	2	0.007439035283994628	7.44e-03	BH	two.sided	FALSE
CCR4	logcpm	NR-pre	NR-post	16	12	111	0.5008546654285486	Wilcoxon rank-sum test	4.111849395356015	0	4.111849395356015	2	4.9342192744272175	3	4	0.5008546654285486	5.01e-01	BH	two.sided	FALSE
CCR5	logcpm	R-pre	R-post	22	12	189	0.04173844084262795	Wilcoxon rank-sum test	4.408460617363474	1.69659771598918	2.711862901374294	1	4.625409649473418	1	2	0.04173844084262795	4.17e-02	BH	two.sided	FALSE
CCR5	logcpm	NR-pre	NR-post	16	12	152	0.009979961846190332	Wilcoxon rank-sum test	4.408460617363474	1.69659771598918	2.711862901374294	2	4.950833197638333	3	4	0.019959923692380664	2.00e-02	BH	two.sided	FALSE
CCR6	logcpm	R-pre	R-post	22	12	223	0.0011086602532527723	Wilcoxon rank-sum test	4.964304569732075	0	4.964304569732075	1	5.361448935310641	1	2	0.0022173205065055446	2.22e-03	BH	two.sided	FALSE
CCR6	logcpm	NR-pre	NR-post	16	12	134	0.08170219650495548	Wilcoxon rank-sum test	4.964304569732075	0	4.964304569732075	2	5.95716548367849	3	4	0.08170219650495548	8.17e-02	BH	two.sided	FALSE
CXCR1	logcpm	R-pre	R-post	22	12	180	0.02135207541921954	Wilcoxon rank-sum test	0.7881350262261635	0	0.7881350262261635	1	0.8511858283242566	1	2	0.04270415083843908	4.27e-02	BH	two.sided	FALSE
CXCR1	logcpm	NR-pre	NR-post	16	12	101	0.6972974227228466	Wilcoxon rank-sum test	0.7881350262261635	0	0.7881350262261635	2	0.9457620314713961	3	4	0.6972974227228466	6.97e-01	BH	two.sided	FALSE
CXCR2	logcpm	R-pre	R-post	22	12	216	7.487469584637228e-4	Wilcoxon rank-sum test	1.6996646315234831	0	1.6996646315234831	1	1.8356378020453619	1	2	0.0014974939169274456	1.50e-03	BH	two.sided	FALSE
CXCR2	logcpm	NR-pre	NR-post	16	12	132	0.021689006026255238	Wilcoxon rank-sum test	1.6996646315234831	0	1.6996646315234831	2	2.0395975578281798	3	4	0.021689006026255238	2.17e-02	BH	two.sided	FALSE
CXCR3	logcpm	R-pre	R-post	22	12	184	0.06346336899952562	Wilcoxon rank-sum test	5.208752848011272	2.711473750431733	2.4972790975795394	1	5.408535175817636	1	2	0.12692673799905124	1.27e-01	BH	two.sided	FALSE
CXCR3	logcpm	NR-pre	NR-post	16	12	91	0.8345206400999458	Wilcoxon rank-sum test	5.208752848011272	2.711473750431733	2.4972790975795394	2	5.70820866752718	3	4	0.8345206400999458	8.35e-01	BH	two.sided	FALSE
