symbol	.y.	group1	group2	n1	n2	statistic	p	method	.y_max	.y_min	.y_span	.comparison_index	y.position	xmin	xmax	p.adj	p.adj.label	p.adjust.method	alternative	paired
CCL2	logcpm	R-pre	R-post	22	19	9	1.8302786389300515e-7	Wilcoxon rank-sum test	7.3026879117036	2.7848188983625346	4.517869013341066	1	7.664117432770886	1	2	3.660557277860103e-7	3.66e-07	BH	two.sided	FALSE
CCL2	logcpm	NR-pre	NR-post	16	13	81	0.32379450062358894	Wilcoxon rank-sum test	7.3026879117036	2.7848188983625346	4.517869013341066	2	8.206261714371813	3	4	0.32379450062358894	3.24e-01	BH	two.sided	FALSE
CCL4	logcpm	R-pre	R-post	22	19	322	0.003269018902447898	Wilcoxon rank-sum test	7.692119023329845	4.0184119915138465	3.673707031815998	1	7.9860155858751245	1	2	0.006538037804895796	6.54e-03	BH	two.sided	FALSE
CCL4	logcpm	NR-pre	NR-post	16	13	134	0.1957826877631825	Wilcoxon rank-sum test	7.692119023329845	4.0184119915138465	3.673707031815998	2	8.426860429693043	3	4	0.1957826877631825	1.96e-01	BH	two.sided	FALSE
CCL5	logcpm	R-pre	R-post	22	19	308	0.010017680802657239	Wilcoxon rank-sum test	7.546210062244636	3.0450216505491383	4.501188411695498	1	7.9063051351802764	1	2	0.020035361605314477	2.00e-02	BH	two.sided	FALSE
CCL5	logcpm	NR-pre	NR-post	16	13	126	0.34576409348166115	Wilcoxon rank-sum test	7.546210062244636	3.0450216505491383	4.501188411695498	2	8.446447744583736	3	4	0.34576409348166115	3.46e-01	BH	two.sided	FALSE
CXCL6	logcpm	R-pre	R-post	22	19	318	0.004558785928601041	Wilcoxon rank-sum test	4.202071737434308	0.10528906788988208	4.096782669544426	1	4.529814350997863	1	2	0.009117571857202082	9.12e-03	BH	two.sided	FALSE
CXCL6	logcpm	NR-pre	NR-post	16	13	142	0.10007631073244988	Wilcoxon rank-sum test	4.202071737434308	0.10528906788988208	4.096782669544426	2	5.0214282713431935	3	4	0.10007631073244988	1.00e-01	BH	two.sided	FALSE
CCL17	logcpm	R-pre	R-post	22	19	338	7.806983846482455e-4	Wilcoxon rank-sum test	4.078317719221437	0.06981312540026541	4.008504593821172	1	4.398998086727131	1	2	0.001561396769296491	1.56e-03	BH	two.sided	FALSE
CCL17	logcpm	NR-pre	NR-post	16	13	126	0.34576409348166115	Wilcoxon rank-sum test	4.078317719221437	0.06981312540026541	4.008504593821172	2	4.880018637985672	3	4	0.34576409348166115	3.46e-01	BH	two.sided	FALSE
CCL20	logcpm	R-pre	R-post	22	19	365	4.794062957706691e-5	Wilcoxon rank-sum test	5.748690263920896	2.390489217983999	3.3582010459368967	1	6.017346347595847	1	2	9.588125915413382e-5	9.59e-05	BH	two.sided	FALSE
CCL20	logcpm	NR-pre	NR-post	16	13	158	0.018969479608195252	Wilcoxon rank-sum test	5.748690263920896	2.390489217983999	3.3582010459368967	2	6.420330473108275	3	4	0.018969479608195252	1.90e-02	BH	two.sided	FALSE
CCL22	logcpm	R-pre	R-post	22	19	408	2.1068595281393418e-7	Wilcoxon rank-sum test	4.929384396763812	0.40520602602428984	4.524178370739522	1	5.291318666422973	1	2	4.2137190562786836e-7	4.21e-07	BH	two.sided	FALSE
CCL22	logcpm	NR-pre	NR-post	16	13	180	9.299842165255859e-4	Wilcoxon rank-sum test	4.929384396763812	0.40520602602428984	4.524178370739522	2	5.834220070911716	3	4	9.299842165255859e-4	9.30e-04	BH	two.sided	FALSE
CXCL2	logcpm	R-pre	R-post	22	19	129	0.037665560526646755	Wilcoxon rank-sum test	7.425108018688171	2.6413873828263768	4.783720635861794	1	7.807805669557115	1	2	0.07533112105329351	7.53e-02	BH	two.sided	FALSE
CXCL2	logcpm	NR-pre	NR-post	16	13	108	0.8780156974718117	Wilcoxon rank-sum test	7.425108018688171	2.6413873828263768	4.783720635861794	2	8.38185214586053	3	4	0.8780156974718117	8.78e-01	BH	two.sided	FALSE
