celltype	.y.	group1	group2	n1	n2	statistic	p	method	.y_max	.y_min	.y_span	.comparison_index	y.position	xmin	xmax	p.adj	p.adj.label	p.adjust.method	alternative	paired
B & Plasma	logcpm	R-pre	R-post	22	17	3	1.1865018781138442e-7	Wilcoxon rank-sum test	2.9532866819308334	0	2.9532866819308334	1	3.1895496164853	1	2	2.3730037562276885e-7	2.37e-07	BH	two.sided	FALSE
B & Plasma	logcpm	NR-pre	NR-post	16	13	58.5	0.030556892211357357	Wilcoxon rank-sum test	2.9532866819308334	0	2.9532866819308334	2	3.543944018317	3	4	0.030556892211357357	3.06e-02	BH	two.sided	FALSE
Myeloid	logcpm	R-pre	R-post	22	19	28	2.3598683702037503e-6	Wilcoxon rank-sum test	3.8635142778705367	0	3.8635142778705367	1	4.17259542010018	1	2	4.7197367404075005e-6	4.72e-06	BH	two.sided	FALSE
Myeloid	logcpm	NR-pre	NR-post	16	13	20	2.4877048279894876e-4	Wilcoxon rank-sum test	3.8635142778705367	0	3.8635142778705367	2	4.636217133444644	3	4	2.4877048279894876e-4	2.49e-04	BH	two.sided	FALSE
T cells	logcpm	R-pre	R-post	22	19	10	1.9012249285758584e-7	Wilcoxon rank-sum test	3.652440554459976	0	3.652440554459976	1	3.9446357988167744	1	2	3.802449857151717e-7	3.80e-07	BH	two.sided	FALSE
T cells	logcpm	NR-pre	NR-post	16	13	34.5	0.0022308270657651823	Wilcoxon rank-sum test	3.652440554459976	0	3.652440554459976	2	4.3829286653519715	3	4	0.0022308270657651823	2.23e-03	BH	two.sided	FALSE
Endothelial	logcpm	R-pre	R-post	20	19	61	3.0556217009920165e-4	Wilcoxon rank-sum test	5.769236019087411	1.9015739605369435	3.8676620585504677	1	6.078648983771449	1	2	6.111243401984033e-4	6.11e-04	BH	two.sided	FALSE
Endothelial	logcpm	NR-pre	NR-post	15	13	97	1	Wilcoxon rank-sum test	5.769236019087411	1.9015739605369435	3.8676620585504677	2	6.542768430797505	3	4	1	1.00e+00	BH	two.sided	FALSE
Epithelial	logcpm	R-pre	R-post	22	16	44.5	1.0652975473267678e-4	Wilcoxon rank-sum test	3.552898582516218	0	3.552898582516218	1	3.837130469117515	1	2	2.1305950946535357e-4	2.13e-04	BH	two.sided	FALSE
Epithelial	logcpm	NR-pre	NR-post	16	12	57	0.07372814975583736	Wilcoxon rank-sum test	3.552898582516218	0	3.552898582516218	2	4.263478299019462	3	4	0.07372814975583736	7.37e-02	BH	two.sided	FALSE
Fibroblast	logcpm	R-pre	R-post	20	19	3	1.6040472931769576e-7	Wilcoxon rank-sum test	6.544749952727054	0.4010140760405772	6.143735876686477	1	7.036248822861972	1	2	3.208094586353915e-7	3.21e-07	BH	two.sided	FALSE
Fibroblast	logcpm	NR-pre	NR-post	15	13	21	4.635747357955024e-4	Wilcoxon rank-sum test	6.544749952727054	0.4010140760405772	6.143735876686477	2	7.773497128064349	3	4	4.635747357955024e-4	4.64e-04	BH	two.sided	FALSE
