edge_type	from	to	start_cyto	start_exhau	end_cyto	end_exhau	weight.x	weight.y	weight.diff	weight	wtype	comp_type
CD4_CXCL13->CD4_KLRB1	CD4_CXCL13	CD4_KLRB1	-0.16107968653210555	0.06118390525269737	0.0035640908930661	-0.17075183422928836	0	0.04677911634573149	-0.04677911634573149	0.04677911634573149	R < NR	Post-treatment: R vs NR
CD4_CXCL13->CD8_TYMS	CD4_CXCL13	CD8_TYMS	-0.16107968653210555	0.06118390525269737	0.508437609318502	0.26732562597304077	0	0.01388485483251176	-0.01388485483251176	0.01388485483251176	R < NR	Post-treatment: R vs NR
CD4_CXCL13->T_MKI67	CD4_CXCL13	T_MKI67	-0.16107968653210555	0.06118390525269737	0.3221173238475757	0.1120220195887803	0	0.01208004890212077	-0.01208004890212077	0.01208004890212077	R < NR	Post-treatment: R vs NR
CD4_KLRB1->CD8_TYMS	CD4_KLRB1	CD8_TYMS	0.0035640908930661	-0.17075183422928836	0.508437609318502	0.26732562597304077	0	0.01134849881871509	-0.01134849881871509	0.01134849881871509	R < NR	Post-treatment: R vs NR
CD4_KLRB1->T_Mito	CD4_KLRB1	T_Mito	0.0035640908930661	-0.17075183422928836	0.18471069273661125	-0.07486414163307066	0.0114296801459041	0	0.0114296801459041	0.0114296801459041	R > NR	Post-treatment: R vs NR
CD4_KLRB1->T_Ribo	CD4_KLRB1	T_Ribo	0.0035640908930661	-0.17075183422928836	0.23379748203423675	-0.1925387180772601	0.01196555647559677	0.01088631893880261	0.0010792375367941615	0.0010792375367941615	R > NR	Post-treatment: R vs NR
CD8_ANXA1->CD8_CCL5	CD8_ANXA1	CD8_CCL5	0.44921694034885007	-0.2841561774317659	0.8427294084095255	-0.08285967262375184	0.03483068237287575	0.03363084443989594	0.0011998379329798137	0.0011998379329798137	R > NR	Post-treatment: R vs NR
CD8_ANXA1->CD8_CXCL13	CD8_ANXA1	CD8_CXCL13	0.44921694034885007	-0.2841561774317659	0.7809440965002276	0.5103815243038091	0.02328902866382059	0.02075641987279606	0.0025326087910245293	0.0025326087910245293	R > NR	Post-treatment: R vs NR
CD8_ANXA1->CD8_FOS	CD8_ANXA1	CD8_FOS	0.44921694034885007	-0.2841561774317659	0.3481401270001603	-0.2930697342203742	0.02782412485928239	0.02028147610923424	0.007542648750048151	0.007542648750048151	R > NR	Post-treatment: R vs NR
CD8_ANXA1->CD8_GZMK	CD8_ANXA1	CD8_GZMK	0.44921694034885007	-0.2841561774317659	0.654850977444354	-0.2657534061837355	0.01481410645710986	0.01474882284899799	6.52836081118692e-5	6.52836081118692e-5	R > NR	Post-treatment: R vs NR
CD8_ANXA1->CD8_TYMS	CD8_ANXA1	CD8_TYMS	0.44921694034885007	-0.2841561774317659	0.508437609318502	0.26732562597304077	0	0.01108962019804432	-0.01108962019804432	0.01108962019804432	R < NR	Post-treatment: R vs NR
CD8_ANXA1->T_Mito	CD8_ANXA1	T_Mito	0.44921694034885007	-0.2841561774317659	0.18471069273661125	-0.07486414163307066	0.01885717012968498	0.01723743531343556	0.00161973481624942	0.00161973481624942	R > NR	Post-treatment: R vs NR
CD8_ANXA1->T_Ribo	CD8_ANXA1	T_Ribo	0.44921694034885007	-0.2841561774317659	0.23379748203423675	-0.1925387180772601	0.01352372502305313	0.01487526348598631	-0.0013515384629331807	0.0013515384629331807	R < NR	Post-treatment: R vs NR
CD8_CCL5->CD8_CX3CR1	CD8_CCL5	CD8_CX3CR1	0.8427294084095255	-0.08285967262375184	0.9902034125668278	-0.3559573778319592	0.01006174664079342	0	0.01006174664079342	0.01006174664079342	R > NR	Post-treatment: R vs NR
CD8_CCL5->CD8_CXCL13	CD8_CCL5	CD8_CXCL13	0.8427294084095255	-0.08285967262375184	0.7809440965002276	0.5103815243038091	0.03370517164460619	0.06691457122847602	-0.033209399583869835	0.033209399583869835	R < NR	Post-treatment: R vs NR
CD8_CCL5->CD8_FOS	CD8_CCL5	CD8_FOS	0.8427294084095255	-0.08285967262375184	0.3481401270001603	-0.2930697342203742	0.02553214014313064	0.02034508702533406	0.005187053117796582	0.005187053117796582	R > NR	Post-treatment: R vs NR
CD8_CCL5->CD8_GZMK	CD8_CCL5	CD8_GZMK	0.8427294084095255	-0.08285967262375184	0.654850977444354	-0.2657534061837355	0.05122542256136964	0.03639920610645939	0.014826216454910245	0.014826216454910245	R > NR	Post-treatment: R vs NR
CD8_CCL5->CD8_IFIT1	CD8_CCL5	CD8_IFIT1	0.8427294084095255	-0.08285967262375184	0.4444235689085628	-0.10561343311326596	0	0.01414998456337661	-0.01414998456337661	0.01414998456337661	R < NR	Post-treatment: R vs NR
CD8_CCL5->CD8_TYMS	CD8_CCL5	CD8_TYMS	0.8427294084095255	-0.08285967262375184	0.508437609318502	0.26732562597304077	0	0.03100084535797374	-0.03100084535797374	0.03100084535797374	R < NR	Post-treatment: R vs NR
CD8_CCL5->T_Mito	CD8_CCL5	T_Mito	0.8427294084095255	-0.08285967262375184	0.18471069273661125	-0.07486414163307066	0.02069950949372043	0.02422779351149335	-0.003528284017772918	0.003528284017772918	R < NR	Post-treatment: R vs NR
CD8_CCL5->T_MKI67	CD8_CCL5	T_MKI67	0.8427294084095255	-0.08285967262375184	0.3221173238475757	0.1120220195887803	0	0.02832245445615887	-0.02832245445615887	0.02832245445615887	R < NR	Post-treatment: R vs NR
CD8_CCL5->T_Ribo	CD8_CCL5	T_Ribo	0.8427294084095255	-0.08285967262375184	0.23379748203423675	-0.1925387180772601	0.01541214809472659	0.02059546562393634	-0.0051833175292097505	0.0051833175292097505	R < NR	Post-treatment: R vs NR
