cell_state	.y.	group1	group2	n1	n2	statistic	p	method	.y_max	.y_min	.y_span	.comparison_index	y.position	xmin	xmax	p.adj	p.adj.label	p.adjust.method	alternative	paired
other cytotoxic	clone_frac_new	CD8_CX3CR1_shared	otherT_shared	1484	12866	12654194.5	5.587039246900001e-94	Wilcoxon rank-sum test	0.2768236380424746	1.5401201293700908e-4	0.2766696260295376	1	0.2989572081248376	1	2	5.587039246900001e-94	5.59e-94	BH	two.sided	FALSE
other cytotoxic	clone_frac_new	otherT_shared	specific	12866	16402	189707254	0	Wilcoxon rank-sum test	0.2768236380424746	1.5401201293700908e-4	0.2766696260295376	2	0.33215756324838214	2	3	0	0.00e+00	BH	two.sided	FALSE
other cytotoxic	clone_frac_new	CD8_CX3CR1_shared	specific	1484	16402	23261713.5	0	Wilcoxon rank-sum test	0.2768236380424746	1.5401201293700908e-4	0.2766696260295376	3	0.36535791837192666	1	3	0	0.00e+00	BH	two.sided	FALSE
exhausted	clone_frac_new	CD8_CX3CR1_shared	otherT_shared	348	13048	3595922.5	2.301355041479617e-77	Wilcoxon rank-sum test	0.2768236380424746	1.5401201293700908e-4	0.2766696260295376	1	0.2989572081248376	1	2	2.301355041479617e-77	2.30e-77	BH	two.sided	FALSE
exhausted	clone_frac_new	otherT_shared	specific	13048	27461	322263018.5	0	Wilcoxon rank-sum test	0.2768236380424746	1.5401201293700908e-4	0.2766696260295376	2	0.33215756324838214	2	3	0	0.00e+00	BH	two.sided	FALSE
exhausted	clone_frac_new	CD8_CX3CR1_shared	specific	348	27461	9311612	7.411127547463858e-204	Wilcoxon rank-sum test	0.2768236380424746	1.5401201293700908e-4	0.2766696260295376	3	0.36535791837192666	1	3	1.1116691321195787e-203	1.11e-203	BH	two.sided	FALSE
dying	clone_frac_new	CD8_CX3CR1_shared	otherT_shared	150	2093	227307.5	4.3427987016054175e-20	Wilcoxon rank-sum test	0.2768236380424746	1.5401201293700908e-4	0.2766696260295376	1	0.2989572081248376	1	2	4.3427987016054175e-20	4.34e-20	BH	two.sided	FALSE
dying	clone_frac_new	otherT_shared	specific	2093	2264	4376010	0	Wilcoxon rank-sum test	0.2768236380424746	1.5401201293700908e-4	0.2766696260295376	2	0.33215756324838214	2	3	0	0.00e+00	BH	two.sided	FALSE
dying	clone_frac_new	CD8_CX3CR1_shared	specific	150	2264	333712	1.5080197494259831e-87	Wilcoxon rank-sum test	0.2768236380424746	1.5401201293700908e-4	0.2766696260295376	3	0.36535791837192666	1	3	2.2620296241389746e-87	2.26e-87	BH	two.sided	FALSE
others	clone_frac_new	CD8_CX3CR1_shared	otherT_shared	422	10346	3435462.5	4.5930987263666814e-89	Wilcoxon rank-sum test	0.2768236380424746	1.5401201293700908e-4	0.2766696260295376	1	0.2989572081248376	1	2	4.5930987263666814e-89	4.59e-89	BH	two.sided	FALSE
others	clone_frac_new	otherT_shared	specific	10346	43611	405539930	0	Wilcoxon rank-sum test	0.2768236380424746	1.5401201293700908e-4	0.2766696260295376	2	0.33215756324838214	2	3	0	0.00e+00	BH	two.sided	FALSE
others	clone_frac_new	CD8_CX3CR1_shared	specific	422	43611	18024492	1.0125398996672026e-252	Wilcoxon rank-sum test	0.2768236380424746	1.5401201293700908e-4	0.2766696260295376	3	0.36535791837192666	1	3	1.518809849500804e-252	1.52e-252	BH	two.sided	FALSE
